Gender,Marital_status,Nationality,Age_at_enrollment,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Attendance,Educational_special_needs,International,Application_mode,Application_order,Previous_qualification,Course,Previous_qualification_(grade),Admission_grade,Curricular_units_1st_sem_(enrolled),Curricular_units_2nd_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_2nd_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_2nd_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_2nd_sem_(grade),GDP,Inflation_rate,Unemployment_rate,Target,Curricular_units_1st_sem_(credited),Curricular_units_2nd_sem_(credited),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(without_evaluations)
1,1,1,24,0,0,0,1,5,10,10,0,1,0,0,1,5,4,6,136.1566257239414,137.82633067104047,6,6,6,7,1,1,18.186545188753456,19.399182403988483,3.0366370441208934,2.1188032939443895,3.3101992385188175,Graduate,0,0,0,0
1,1,1,19,0,0,0,5,6,10,7,0,1,0,0,1,4,2,6,139.89221019444676,141.77860821484845,6,5,5,4,5,5,15.015176450668067,15.199959550924085,1.8732256760299637,1.4814853655030462,5.122276311650063,Graduate,0,1,0,0
1,2,1,26,0,0,0,2,2,3,1,0,0,0,0,1,3,3,2,133.95976927367698,132.39353820029964,3,3,3,2,3,3,16.567095280052907,17.35660633467045,1.4850800333058158,2.161784633160875,6.357956307830246,Dropout,0,0,2,0
1,1,1,19,0,0,1,2,5,7,5,1,1,0,0,4,3,3,1,177.07383220533816,177.86966524509128,5,4,6,5,5,4,11.637007096658653,10.691052753525497,2.701157807412585,2.0496154266136504,8.228805862486414,Dropout,0,0,0,0
0,1,1,18,1,0,0,4,3,3,4,1,1,0,0,1,1,2,7,136.92378740824594,135.26721154759377,3,2,1,1,0,0,12.714292508780233,10.601020063889083,2.5538261344403463,0.4080832643242278,4.422388227921563,Dropout,1,0,0,1
0,1,1,17,0,0,0,3,4,10,4,0,0,0,0,1,1,1,6,142.79716623175355,154.8297809815364,6,5,4,4,2,3,18.97114770219899,19.779989020467706,2.656900827246032,1.390777301261826,6.822174383845277,Graduate,0,2,0,0
1,1,1,22,0,0,0,3,3,2,9,1,1,0,0,3,1,2,6,146.44262914711746,144.67226950292775,6,7,5,5,4,4,15.283201781059134,15.503355994078714,1.420722777598352,0.7278448238105576,1.5834899873456274,Graduate,0,0,1,0
1,2,1,17,0,0,0,1,1,2,7,0,1,0,0,1,1,2,2,145.97279275891742,146.58732579607997,3,3,2,3,3,3,13.76022739025828,13.58758215347684,0.5447662476030128,1.2370259271661843,6.905943910074861,Enrolled,0,0,0,1
0,1,1,22,0,0,1,3,2,7,7,0,0,0,0,1,4,2,3,145.27711601352217,147.10252356578107,5,4,5,6,1,1,17.130628654932917,16.79461590657722,2.343635283327697,1.0447981512119664,7.462470992800931,Enrolled,0,0,0,0
1,1,1,21,0,0,0,4,6,7,7,0,1,0,0,1,1,4,3,163.45675535480348,160.0067071290134,5,5,3,3,1,1,12.955194014222803,12.14279595137145,1.7401302981148876,1.271698565981278,10.831629256270604,Graduate,0,0,0,0
0,1,1,36,1,0,0,2,3,3,2,1,1,0,0,1,1,2,5,192.39246883555944,187.39412441612848,6,5,7,7,3,2,16.82215673096983,16.02412719506283,0.23702879323619142,1.5513130612361985,5.123938640599002,Dropout,0,0,0,0
1,1,1,24,0,0,1,4,5,6,6,0,1,0,0,3,3,2,4,141.6813986860161,147.07150270071736,5,6,5,5,5,4,17.34259894010659,17.184536019737948,4.151406657218409,1.9022338503501852,3.9999981679262326,Graduate,0,0,2,0
1,1,1,19,1,0,0,2,4,5,10,1,0,0,1,1,1,3,7,136.501184298153,141.83054549174017,3,2,3,4,1,1,18.173895014774896,17.076545213183152,1.6147112207603609,1.8943640030837163,6.7696939866474555,Graduate,0,0,0,0
1,2,1,29,0,0,0,3,3,3,4,0,1,0,0,1,4,1,1,124.9400965625288,123.38029128643585,4,4,2,2,4,4,16.1256438133392,16.446203002991528,1.0915048825800961,2.2224210191708575,8.045579866003893,Graduate,0,0,0,0
0,1,1,30,0,0,1,3,3,5,7,0,1,0,0,1,1,3,2,125.48060431000891,115.9268502186456,3,2,2,1,3,2,13.306093609236388,14.499336266331316,2.5585996807055764,2.589638017894683,5.948822841813157,Graduate,2,0,0,1
0,1,1,38,0,1,0,3,2,10,2,1,1,0,0,3,4,1,6,132.40182108158584,133.7146794086933,5,6,3,2,2,2,16.603431291141902,17.713703434253198,2.5690179442405374,2.2487214436774474,3.9393986162001084,Graduate,0,2,0,0
0,1,1,27,1,0,0,2,2,7,5,0,1,0,0,1,5,3,8,166.94373369285205,164.40368345584238,6,5,6,7,5,4,13.564955781338359,13.946221331826802,3.5443444169464393,1.5319655645385049,7.3833468165861005,Graduate,0,0,0,0
1,1,1,27,0,0,0,5,2,10,1,1,1,0,0,1,1,1,8,163.2860455929209,169.76025929229283,5,4,5,4,2,3,14.316190735250428,13.990079973632437,3.0603947070683826,2.307102039714001,5.002466353044137,Dropout,0,0,0,0
1,2,2,19,0,0,0,2,3,4,6,0,1,0,0,1,1,2,5,125.67769557060227,122.87313818657205,5,5,5,4,5,4,15.48389729299786,13.220673552596104,1.5701544018751983,2.8287986355494787,3.7818169043036542,Dropout,0,0,0,0
0,1,1,17,0,0,0,5,3,1,4,1,1,0,0,5,1,2,7,147.08851117896944,143.61678344160367,6,7,5,4,1,1,13.67650770296391,12.914075615758064,2.9532480928105693,1.2681921386347612,7.2931255750449075,Graduate,0,0,0,1
1,1,1,25,0,1,0,5,2,6,5,1,1,0,0,1,1,2,6,142.20971147780762,144.76515541508184,5,5,6,5,3,3,11.857645570429108,10.144522885283857,1.3334434429878,0.955788892196127,4.983312149441507,Dropout,0,0,0,1
0,1,1,17,0,0,0,3,5,10,6,0,0,0,0,1,1,2,4,114.70838348673865,120.48418843573259,5,5,5,4,0,1,15.11436139054823,15.642839147542643,1.9478359274511456,-0.004277799074353439,6.393316469702455,Dropout,0,0,0,0
0,1,1,17,0,0,0,6,2,3,7,0,0,0,0,1,2,3,8,156.15828581078165,163.22739728113282,3,2,2,2,1,2,18.63644517147949,17.629328798051237,3.0855142606395916,1.8007462001509833,6.810658571460568,Dropout,0,0,2,0
1,2,1,21,1,0,0,4,3,10,7,1,1,0,0,1,5,2,3,123.42904898412013,123.76164249659199,4,3,4,3,4,3,15.558395494895628,15.89189525197094,0.504427170262741,1.0501661868914827,7.077671824302178,Graduate,0,0,0,2
0,3,1,20,0,0,0,2,4,7,5,1,0,0,0,1,1,2,8,162.53842091469198,162.25434651232823,6,5,6,5,3,4,15.534917463136756,16.367289585907898,2.8876090864931667,1.9167272402244386,6.882833843759403,Graduate,0,0,0,0
1,1,2,31,0,0,0,4,4,2,6,1,1,0,0,2,1,3,7,131.99984646909851,130.03681001516148,6,5,6,5,6,5,13.11864101885768,14.408213094475114,0.9708252573270382,1.8355096758605318,6.645327807828799,Graduate,0,1,0,0
0,1,1,20,0,0,0,1,3,5,8,1,1,0,0,1,1,2,1,130.4458675794242,128.81305531500644,5,4,3,3,5,4,12.812429107345082,13.311212020594375,1.1697274856219309,1.076281452311409,6.329454746593635,Graduate,0,0,0,0
0,1,1,26,0,0,0,6,2,5,7,1,1,0,0,2,1,3,6,190.78290189679416,188.16161854737655,3,3,2,3,3,3,15.482751776058189,15.070135338557664,2.152806699746727,2.29000480202499,3.803924509076203,Graduate,0,1,2,0
1,1,1,18,0,0,0,4,6,7,6,0,1,0,0,1,3,2,7,155.11710067890894,151.49849793637014,4,5,2,1,3,2,14.598398737938334,15.532434795582542,2.5721352282024075,1.3775303770120535,2.515177372727367,Dropout,0,0,1,0
0,1,1,25,0,0,0,4,3,5,7,0,1,0,0,4,2,2,7,159.42151504509928,157.8164671949518,5,4,3,4,4,4,11.103938365813608,9.265622359204343,1.6078770469874086,0.904780391279906,5.0111093479505975,Graduate,0,0,0,0
1,2,1,20,0,0,0,2,2,7,7,0,1,0,0,1,1,2,8,141.74698104094315,137.39815719204833,3,4,1,0,3,4,14.729579156772136,13.837123473735609,1.4554796809005635,2.3095570984481326,8.316670854426093,Graduate,0,0,0,0
0,2,1,27,1,0,0,4,4,2,3,0,0,0,0,1,3,2,8,119.39152080653872,118.17734447478506,3,2,3,3,3,2,13.771501626295144,14.624796090561471,1.9451957575220762,1.6570545513938184,4.510215028952368,Dropout,1,0,0,0
0,2,1,29,1,0,1,6,2,6,7,0,1,0,0,2,3,2,6,155.81528714632938,155.1389249205758,3,3,2,2,3,2,15.367448161425026,15.810133841311634,2.2677990535658905,1.809871214491457,8.603547434052466,Graduate,0,0,2,0
0,1,1,17,0,1,0,2,1,4,8,0,1,0,0,1,3,1,5,191.73412228851004,192.6252191523389,3,3,2,3,0,-1,11.351243876077701,11.558106873350106,1.5774061860266415,1.7034222012010558,6.0976991272269805,Graduate,0,0,0,2
1,2,1,18,0,0,0,1,4,6,6,0,1,0,0,1,1,2,1,156.21627642687145,154.78198285836498,6,5,5,4,3,2,14.477591449045175,13.690540807841865,2.3914609316140663,1.312786017381988,5.6287918846583995,Dropout,0,0,0,0
0,1,1,23,0,0,0,2,2,6,3,1,0,0,0,1,1,2,4,136.043726974178,141.3239271357678,6,6,4,3,6,6,12.313536942148952,10.990457632277026,0.9367759053911817,1.1395734352053521,4.567364007114527,Enrolled,0,0,0,0
1,1,1,29,0,0,0,2,2,7,10,1,0,0,0,1,1,1,2,165.09664816908014,172.76104350049647,6,7,6,5,3,3,15.41748513708416,16.08372697468567,3.0941949467532015,1.7465040408764507,4.89357777781237,Enrolled,0,0,0,0
0,1,1,36,0,0,0,4,5,8,2,0,1,0,0,1,1,2,1,162.0026642307684,155.52594279305998,5,4,3,2,5,4,17.817381432057648,17.6365235243235,2.0827296220980442,1.5617645170998513,4.400006642891927,Enrolled,0,0,0,0
1,1,1,23,0,0,0,4,5,3,7,1,0,0,0,3,1,2,4,165.24279120018602,165.86115757300158,3,4,4,3,0,-1,14.431052735401266,14.362109529687723,1.7372655036674247,0.6498607655579903,8.785300815944316,Graduate,0,0,0,0
1,1,1,17,0,0,0,5,5,5,6,0,0,0,0,2,1,3,3,189.00749154112754,190.1664069847182,5,6,3,3,3,4,13.633539707122932,14.029567390381622,2.3736459410038613,1.3181636306243119,4.216606207959821,Graduate,0,0,0,0
1,1,1,30,0,0,1,4,2,7,2,0,1,0,0,2,1,1,7,171.27753043398954,165.35882497411288,6,5,7,7,2,3,16.191309583330874,16.66668102168139,2.996157737151482,1.293909472219403,10.237246621293517,Dropout,0,2,0,0
1,1,1,21,0,1,0,5,2,4,10,0,0,0,0,1,1,2,2,146.43374148532797,148.40327818003817,5,4,5,6,4,4,15.55659207532345,15.067787720924931,-0.3121803638893623,1.2813660142188592,8.308847785566101,Dropout,0,1,0,0
1,1,1,18,0,0,0,2,3,4,2,0,0,0,0,1,1,2,5,154.41716685719513,158.21350902683264,5,4,6,7,0,-1,16.92161252454234,17.473172206103524,2.914400626256006,1.9841350704559813,1.2934921450894654,Graduate,0,0,0,0
1,1,1,17,0,0,0,6,2,10,7,0,1,0,0,1,2,1,7,166.06229980042326,169.10743933284928,4,4,5,4,4,4,18.260484053069185,17.196693590589238,1.3835497645121175,0.6790095376711908,5.191265853225845,Enrolled,2,0,0,0
1,1,1,18,0,1,0,2,6,5,3,0,1,0,0,1,5,2,8,142.20037196577726,135.0612950328374,6,6,7,6,5,6,12.810892900705902,12.360434892484612,2.344983361159552,1.904225746441319,3.9904138743597906,Dropout,0,0,0,0
1,1,1,18,0,1,0,5,6,9,5,1,1,0,0,2,4,2,8,157.18739402759394,154.93507935331976,4,4,4,5,4,3,16.89722590442359,17.300823507507918,2.711339748039454,0.7944560065796754,7.647625731915941,Graduate,0,0,0,0
1,1,1,30,0,1,0,3,2,4,7,1,1,0,0,1,5,2,2,163.22837849552118,165.93790443836733,5,4,5,5,4,4,17.173063775847524,17.007924956147782,0.7139939086204712,1.8129746198680259,6.004533125800134,Graduate,0,0,0,2
0,2,1,21,0,0,0,1,4,10,3,0,1,0,0,5,2,2,1,95.0,101.91443361372697,4,5,5,4,4,5,11.806053503799369,12.462905326427382,1.2874432850603097,2.317166522461421,3.22399134126366,Graduate,0,0,1,0
1,1,1,22,0,0,1,2,3,4,2,1,1,0,0,1,1,3,5,171.70772036570764,179.04491924790102,4,5,3,2,3,2,10.825877095003765,10.56494214901598,1.0197204132664952,1.2205632766725363,2.5147862127966945,Graduate,2,0,0,0
0,2,1,27,0,0,0,1,3,4,9,0,1,0,0,1,2,2,4,133.04912209815123,131.99729935105026,6,7,4,5,3,3,15.234434111279953,16.254007802827957,1.9584302270836593,1.549899642319911,3.8199634179899786,Enrolled,0,0,0,0
1,1,1,20,0,0,0,1,1,6,10,1,1,0,0,3,3,1,5,145.40470310161948,149.76375472908356,5,6,4,5,4,5,11.528764197502554,10.906928619090298,3.97662411447058,2.080333019814038,5.404065415443277,Graduate,0,0,0,0
0,1,1,18,1,1,0,4,3,7,7,1,0,0,0,1,1,3,8,165.07234817430748,171.35807917109636,3,3,4,3,3,2,13.4650750289205,14.929656407813658,1.7493504248610412,1.0769088129328201,5.976497722774411,Graduate,1,0,0,0
1,1,1,23,1,0,0,2,5,7,4,0,0,0,0,3,2,2,5,168.70230437688505,165.84533039793018,3,3,2,1,1,1,13.578476305612199,13.580727548136114,3.3695650349606554,1.3945444873228972,7.178713035890826,Graduate,0,0,0,0
0,2,1,17,0,1,0,3,6,5,3,0,1,0,0,2,4,1,1,126.31745116131427,128.51329610604853,5,4,6,5,5,4,11.20539272586519,11.857165393770579,2.2997516306014782,1.808485194366852,8.182971228368313,Dropout,1,0,0,0
0,1,1,21,0,1,0,6,2,4,7,1,0,0,0,1,2,2,8,153.41519095915487,156.20038822730007,6,7,5,5,6,5,17.4773436400303,16.24144908619682,0.7742984799811194,1.466811007236067,7.824243070730521,Graduate,0,0,0,1
1,2,1,19,0,1,0,5,2,9,2,0,1,0,0,1,2,1,2,135.7692926102346,133.60291099303456,5,4,5,6,0,-1,9.453820315347684,10.091020720782083,2.207046444610195,2.010256368397915,6.899211125527607,Graduate,0,0,1,0
1,1,1,17,0,0,0,2,6,10,2,1,1,0,1,1,1,1,1,161.87641890758636,164.85431008569475,4,3,5,6,2,1,12.598863501481938,13.001310945655074,0.8543985954559292,0.8882888462654709,5.645228817748333,Dropout,0,0,0,1
0,2,1,17,0,0,1,6,2,7,7,0,0,1,0,1,1,2,7,131.87388842029193,133.41810642757756,5,4,5,5,3,4,16.763824947397747,17.245599053934853,2.340209371320002,2.098625954467697,5.5588108461245875,Graduate,0,0,0,0
0,1,1,17,0,0,0,2,4,10,7,1,0,0,0,1,1,3,6,132.2702055259005,133.71445605176567,5,4,6,7,3,4,16.221835449853966,17.167277773555714,-0.044218886691674175,2.0450671762800665,5.5228671803695395,Enrolled,0,2,0,0
0,1,1,17,1,0,0,6,6,4,6,1,0,0,0,1,1,3,1,112.88578010420471,106.68681481872652,5,6,5,5,5,5,13.344468657233884,14.38959516173091,4.265060097971829,1.7909391636071312,5.612853505224786,Dropout,0,0,0,0
0,1,2,28,0,1,0,6,5,4,7,0,1,0,0,4,3,2,1,161.14960548138546,166.34025239735394,5,6,4,4,5,6,13.798993827899926,12.196664369125356,1.6738288429081132,1.8097556400378096,4.83443604110674,Dropout,0,0,0,1
0,1,1,18,0,0,0,6,5,1,6,1,0,0,0,2,1,2,2,123.45954283004207,120.84696464287093,6,5,6,6,3,3,14.937448765387018,16.257571114701506,1.5506881560640084,1.755157387536224,6.928527825126122,Graduate,0,0,0,0
0,1,1,18,0,0,0,1,1,2,2,0,1,0,1,1,1,3,4,181.6434071385282,186.1393197915568,4,4,5,5,4,4,17.75869767666522,16.923696727315427,1.988477792232706,0.9876799973776694,5.69918626669876,Dropout,0,0,1,0
1,2,1,18,0,0,0,2,4,1,5,1,1,0,0,1,1,3,3,136.25330532291997,140.44127199647602,4,4,5,5,4,3,18.88664012251503,18.501476300748923,0.8253776850015726,2.0646073971168994,2.129049635703566,Dropout,1,0,0,0
0,1,1,29,0,0,0,6,5,9,7,1,1,0,0,1,3,2,1,166.24256766565088,163.42757579155028,3,2,1,2,2,1,15.570911403393735,15.71657050363538,2.1286364110437743,1.6999521148293766,6.487686749743711,Dropout,0,0,1,0
0,1,1,19,0,1,0,2,1,4,4,1,1,0,0,2,1,1,5,174.82640184198158,177.55909567158466,6,5,4,3,4,4,11.569757520928505,11.141137461506476,2.1256346132672754,1.0015750730878579,7.763948278412481,Dropout,0,0,0,2
0,1,1,24,0,0,0,3,4,1,10,1,1,1,0,1,5,2,6,172.1326001858796,176.2428558196034,6,7,7,6,3,4,17.965977767456017,15.995218714066,2.883072324896577,1.9765682970144396,0.7330772894826263,Dropout,0,2,0,0
0,1,1,26,0,0,0,3,2,10,4,0,1,0,1,1,1,2,5,162.02086124988259,156.93820230639497,3,2,4,4,3,2,15.891065517802518,14.00573907156513,0.4169982317617611,0.8242405586717404,6.027024078467334,Enrolled,0,0,0,0
0,1,1,18,0,0,0,4,4,7,9,1,1,0,0,1,2,2,1,129.33897367995166,129.09898703210376,3,4,4,5,3,4,17.213031956313245,19.021761713551523,2.0355499115375757,1.1361474005588874,6.1303034675529045,Enrolled,0,0,0,0
0,1,1,19,0,0,0,1,2,8,2,0,1,0,0,1,2,3,6,167.82954268781037,170.4737179696266,3,3,3,4,0,-1,16.500874350624922,16.990253039399484,0.13086617943436551,0.9184363288473852,7.4551682440307605,Graduate,0,0,0,0
1,1,1,26,0,0,0,6,3,3,6,0,1,0,0,1,4,3,4,126.53034354214421,133.55086139524084,5,6,3,2,2,3,16.39780119412543,17.075166100935373,2.5252388972166164,1.3283891823369827,9.668317676255596,Graduate,1,0,0,0
0,2,1,22,0,0,0,6,2,7,4,1,0,0,0,1,1,2,2,123.08258270306061,129.571494844778,5,6,5,5,5,4,14.814412675656811,14.562847634104285,0.5189513824327265,0.741667527089944,6.591489289871704,Graduate,0,0,0,0
0,1,1,23,0,0,0,2,3,4,7,0,1,0,0,3,3,3,3,158.27567355617208,155.33556503191693,6,5,6,5,1,2,16.63274506280974,16.286190057006152,3.206538597558418,1.7144573342576683,7.833295212817397,Graduate,0,1,0,0
1,1,1,18,0,0,0,5,2,4,2,0,1,0,0,1,1,1,6,151.67355445898684,147.49519257217668,4,5,5,6,4,3,14.543588338176784,15.024023834747696,3.085295305625819,1.5395298533082769,1.677534040184708,Graduate,0,2,0,1
0,2,1,38,0,0,0,3,3,6,6,1,0,0,0,3,2,4,2,153.7010445559101,156.33685554889564,6,7,6,5,6,6,17.327521504499416,16.232428848468352,0.9675886578475343,1.091213185123506,6.311502387141837,Graduate,0,0,0,0
1,1,1,19,0,0,0,3,1,4,3,1,1,0,0,3,2,1,2,159.1025789327943,159.63272162713648,5,5,5,5,3,3,12.092765560163128,11.625957309598258,2.513076135060439,1.8129719162377957,2.383022651073503,Enrolled,0,0,0,0
0,3,1,18,0,0,0,4,3,3,6,0,1,0,0,4,1,2,5,166.28503431957296,158.81320452081422,5,4,6,7,2,2,13.712739295950106,11.795784198064363,2.520867087085004,2.2422299962657943,7.8906602148223985,Graduate,0,2,0,1
1,1,1,19,0,1,0,2,2,7,5,0,0,0,0,1,5,1,6,169.98458703286613,170.0762160543059,3,3,1,1,0,0,17.237464127659578,17.083510150540132,0.7251319697836704,1.9130293524757613,4.802545556129543,Graduate,0,0,0,0
0,1,1,25,0,0,0,4,4,10,9,1,1,0,0,4,1,3,2,158.95631313630858,158.3184108078992,6,5,5,5,2,3,15.78132801538465,15.866695606277915,0.6755972982982628,0.5282964702693271,6.92988392786931,Graduate,0,0,0,0
0,2,1,17,0,1,0,4,2,7,3,0,1,0,0,2,2,3,2,133.80432799355435,133.31846608934404,6,7,4,5,5,6,16.775390950884393,16.706410495438394,2.412304813429559,0.6575209921372115,9.23336809791395,Enrolled,1,1,0,0
0,2,1,27,0,0,0,5,6,3,5,0,0,0,0,5,1,2,6,154.4216479086108,147.26483162447713,3,3,1,0,3,2,13.122986368444572,11.90103816407914,2.0313114716286456,0.5977100831241343,8.603306223089634,Dropout,0,2,0,0
0,2,1,17,0,0,0,2,3,8,7,1,1,1,0,1,1,2,2,125.15009701485118,126.59799655876832,6,7,5,5,3,3,13.009765656814489,14.877696372340473,1.6928788757070932,2.2732822128832058,5.904407641610642,Dropout,0,0,0,0
1,2,1,17,0,0,0,3,3,7,1,1,1,0,0,5,1,2,2,173.50458122210384,169.909003536601,5,4,6,7,4,4,16.516981678670184,15.448473407147146,2.875548263494316,2.06984682800824,7.2051386187174415,Graduate,0,0,0,0
0,2,1,18,1,0,0,4,5,7,7,1,0,0,0,1,3,3,4,127.68831144156218,121.58628099487858,6,6,6,6,0,0,15.650972930079165,14.664928226144948,3.1157940565561164,2.028240817981776,6.307904016607322,Graduate,0,0,0,0
1,1,1,17,0,0,0,4,2,10,6,0,1,0,0,5,4,2,4,137.20614437435637,133.25169963775772,5,6,3,2,0,1,14.655927427677824,11.72087408377862,2.3675052292527576,1.8256582668518386,8.010160252536089,Graduate,0,0,1,0
0,1,1,17,0,0,0,2,3,7,7,0,1,0,0,1,3,2,6,149.4075465992354,152.97405079789317,6,6,4,3,1,0,12.63152361070565,13.925277631184393,2.1427941349134496,0.8183485220871164,8.945884832783818,Graduate,0,0,0,0
0,1,1,19,0,0,0,2,4,3,5,1,0,0,0,1,2,2,1,125.71368205067823,131.4872201344836,5,6,5,5,3,4,17.84602419676253,18.559610307141277,0.9138890061550089,1.0562993203514235,11.127185853017618,Enrolled,0,0,0,0
1,2,1,23,0,1,0,4,1,7,3,0,1,1,0,1,2,4,2,177.2257334112243,179.32643133174042,5,6,3,4,2,1,14.204973738831455,14.745258479173012,2.000876080720881,1.656801770487869,6.237727327758243,Graduate,1,0,0,0
1,3,1,17,0,0,0,4,1,6,9,1,1,0,0,1,1,3,2,172.81092494855702,164.94799981314912,3,3,4,3,2,2,15.768487015279872,16.83171293988298,3.1232683634214347,1.9651550691195896,5.387080038557447,Graduate,0,0,0,0
