Gender,Marital_Status,Nationality,Age_At_Enrollment,Debtor,Scolarship_Holder,Tuition_Fees_Up_To_Date,Mothers_Qualification,Fathers_Qualification,Mothers_Occupation,Fathers_Occupation,Displaced,Daytime/Evening Attendance,Educational Special Needs,International,Application Mode,Application Order,Previous Qualification,Course,Previous Qualification Grade,Admission Grade,Curricular units 1st sem (credited),Curricular units 2nd sem (credited),Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 2nd sem (evaluations),Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Curricular units 1st sem (without evaluation),Curricular units 2nd sem (without evaluation),GDP,Inflation Rate,Unemployment Rate,Target
0,3,2,27,1,0,0,4,4,5,8,1,0,1,1,5,2,3,4,96.48,138.4,2,3,1,9,8,10,1,6,8.69,17.87,1,4,1.84,-1.06,8.51,Enrolled
0,1,2,59,1,1,0,4,1,7,8,1,1,1,1,4,2,1,2,102.97,198.3,7,3,3,1,1,1,9,2,3.6,17.35,4,2,-4.35,1.78,11.23,Dropout
0,1,1,46,0,1,0,3,3,4,8,1,0,1,1,5,5,3,1,168.01,172.7,8,7,3,4,7,0,7,6,15.75,14.04,2,5,-2.53,-1.46,19.01,Dropout
1,1,2,64,0,0,1,2,1,10,5,0,0,0,1,1,3,2,3,169.31,107.26,2,3,8,10,0,8,4,3,9.36,11.13,1,1,-3.17,5.04,6.67,Graduate
1,3,1,66,1,1,1,4,2,5,5,1,1,0,0,2,4,2,2,180.32,162.4,0,0,3,6,1,10,8,3,19.79,9.71,0,5,-3.63,5.3,13.78,Graduate
1,1,1,31,0,1,0,3,5,9,6,0,0,1,1,5,3,4,8,142.73,159.38,5,10,7,7,7,10,3,0,19.13,12.01,2,4,3.87,0.72,6.72,Graduate
0,3,2,52,0,0,0,6,5,1,10,1,1,0,0,4,2,2,6,116.2,151.17,1,5,4,6,3,5,4,7,9.12,15.32,2,2,-2.38,4.86,8.18,Dropout
1,3,2,37,1,0,1,3,3,10,7,0,1,1,1,4,1,3,7,177.55,118.8,7,8,3,10,0,9,4,2,1.89,5.38,5,5,-0.51,4.67,14.12,Graduate
0,2,1,44,1,0,0,2,2,5,5,1,1,1,0,5,1,1,3,166.87,160.3,3,3,10,1,8,9,2,3,15.19,12.96,2,1,0.01,4.55,6.95,Enrolled
1,3,1,45,0,0,0,4,4,3,1,1,1,1,1,1,2,3,1,184.19,101.34,3,3,1,9,0,4,7,6,10.26,3.34,2,5,-0.57,7.05,6.2,Enrolled
0,2,2,45,1,0,0,4,6,8,7,1,1,0,0,4,5,2,4,176.64,118.83,3,6,10,5,2,3,8,7,18.67,16.26,5,2,2.48,9.43,13.63,Enrolled
1,1,1,63,0,1,1,1,4,1,6,0,0,0,1,5,4,4,8,162.37,102.66,4,2,9,10,8,2,8,6,7.3,10.56,4,4,4.65,-0.37,5.86,Graduate
1,2,1,44,1,1,0,6,1,6,1,1,1,1,1,3,4,4,6,200.31,197.04,7,1,2,6,7,6,4,0,11.59,6.12,3,2,-4.19,2.11,5.79,Dropout
0,2,2,70,1,1,0,4,6,7,4,0,1,1,0,5,4,4,5,193.13,163.2,7,7,6,10,2,4,7,0,16.0,10.35,5,3,2.69,-0.07,13.58,Graduate
1,3,1,20,1,1,1,6,3,1,5,0,1,1,1,3,4,3,7,113.82,176.12,0,8,3,3,8,3,7,7,19.62,13.95,3,2,-3.9,3.31,6.84,Graduate
1,2,1,69,1,1,0,3,3,2,5,0,0,0,0,5,1,4,4,113.43,138.86,4,9,4,3,10,6,8,7,5.33,5.58,2,0,4.39,4.75,18.8,Dropout
1,1,1,33,0,0,1,4,5,10,4,1,0,0,1,3,2,4,5,120.65,199.11,10,1,2,6,2,7,9,2,13.47,18.65,0,4,-1.81,-0.83,10.35,Dropout
0,3,1,59,1,1,1,5,5,10,7,1,0,0,1,5,1,3,4,163.79,118.99,7,4,7,1,9,0,4,5,3.81,16.09,1,0,3.88,-0.21,15.15,Enrolled
1,3,1,18,1,0,0,3,2,5,5,0,1,0,0,2,3,4,6,137.45,143.89,0,8,4,4,3,0,2,10,7.51,2.3,2,0,0.91,0.18,8.66,Dropout
1,3,2,29,1,0,0,2,2,6,10,1,0,1,0,4,1,3,7,195.07,154.21,3,9,8,9,0,7,1,8,9.05,10.07,4,5,-2.56,0.01,14.48,Enrolled
1,1,1,24,0,1,0,3,6,9,1,1,1,0,0,1,2,3,1,174.58,191.52,8,9,1,8,10,6,8,6,8.7,3.65,4,0,4.19,8.05,15.04,Enrolled
0,2,2,22,0,1,0,2,6,2,8,0,0,0,1,5,5,1,8,117.06,103.53,6,9,4,3,6,5,4,9,19.51,7.96,3,2,-1.93,0.85,10.8,Dropout
0,3,2,32,0,1,0,5,1,5,9,0,0,1,0,4,5,1,3,112.02,98.79,7,2,9,3,10,3,1,2,2.61,7.84,0,5,3.04,5.87,12.05,Enrolled
1,1,2,56,0,1,0,2,6,3,9,0,0,1,1,3,2,2,7,108.54,151.94,8,8,5,6,9,5,2,3,1.61,0.99,0,2,1.24,1.99,13.53,Dropout
0,3,2,29,0,1,1,4,3,8,4,0,0,0,0,2,1,1,7,199.05,132.37,0,0,9,5,3,10,6,9,16.18,18.33,3,3,-4.31,2.05,13.51,Dropout
0,2,1,19,1,1,0,5,2,4,2,1,1,1,1,3,1,3,6,189.4,181.51,8,2,10,9,6,10,9,6,14.3,14.14,5,2,2.39,6.88,8.61,Enrolled
0,1,1,55,1,0,1,5,3,4,7,1,1,1,1,1,1,3,5,183.85,178.45,7,6,8,2,1,8,2,3,7.96,9.35,4,4,4.31,2.38,14.3,Dropout
1,3,2,42,1,1,1,4,5,2,6,1,1,1,1,2,1,4,1,155.45,179.03,9,3,9,5,8,5,9,8,17.86,3.03,3,3,-3.62,-1.97,18.23,Enrolled
1,3,2,42,0,1,0,2,1,6,3,1,0,1,0,3,3,1,8,165.7,165.48,9,6,4,3,6,9,6,2,14.87,7.55,3,3,-3.5,3.43,14.58,Graduate
1,1,1,18,0,0,1,3,4,8,4,0,0,1,0,1,2,1,6,129.33,170.78,7,9,4,2,5,4,5,3,7.71,10.35,0,4,-3.34,5.91,6.72,Graduate
1,2,2,20,0,0,0,2,3,7,10,0,0,1,0,1,2,1,4,174.83,159.51,8,8,3,8,4,3,9,6,9.89,9.82,0,2,4.27,3.57,13.31,Enrolled
1,2,2,68,1,1,1,5,5,7,4,1,0,0,1,2,1,3,7,189.63,128.49,1,5,4,7,7,0,4,8,16.78,15.7,0,1,-3.37,3.33,15.9,Dropout
0,2,2,58,1,1,0,1,3,10,2,0,1,0,0,2,5,2,8,144.32,148.28,7,0,4,5,1,5,2,5,16.32,14.24,0,4,1.58,1.51,10.87,Enrolled
0,1,1,45,0,0,1,1,3,2,1,0,1,0,1,5,3,4,5,166.24,164.33,7,1,8,10,1,1,5,7,1.94,10.7,5,4,-7.290000000000001,8.12,6.68,Dropout
1,1,2,19,0,0,1,1,1,9,7,1,1,1,1,5,3,4,4,95.9,189.46,8,10,1,3,2,2,1,5,9.3,7.78,1,2,1.39,5.77,11.51,Graduate
1,2,2,22,1,1,1,2,4,2,7,1,1,1,0,4,4,2,8,123.71,122.64,0,8,3,5,4,8,5,2,19.12,10.17,2,2,-3.63,5.1,12.06,Graduate
0,2,1,30,1,1,0,2,6,8,10,1,0,0,0,5,5,2,7,181.11,152.2,10,2,4,10,1,2,6,10,13.28,3.46,5,4,-1.67,3.95,8.48,Enrolled
0,1,2,28,1,1,1,5,6,6,5,0,0,0,0,2,4,2,6,263.65500000000003,157.34,7,5,6,7,4,9,8,3,6.62,19.96,1,4,-2.16,-0.15,5.47,Graduate
0,3,2,55,1,0,1,2,6,5,10,0,0,1,1,2,1,2,6,139.25,128.93,8,3,5,6,10,10,4,0,14.98,19.44,2,2,-2.82,7.53,12.53,Dropout
1,2,2,20,1,0,1,4,3,6,6,1,0,0,1,2,2,2,4,123.23,192.69,6,4,10,6,5,6,9,6,7.59,16.47,1,1,2.18,7.69,15.46,Graduate
0,1,1,21,0,0,1,6,6,7,5,1,0,0,0,3,5,4,2,121.22,189.83,5,7,10,1,5,10,4,1,11.7,17.06,4,3,0.9,-1.61,7.46,Dropout
0,3,1,33,1,1,0,6,4,5,3,0,1,0,0,3,5,2,5,127.06,140.01,5,0,2,5,0,6,8,9,10.07,13.06,1,5,-4.58,6.64,14.84,Enrolled
0,3,2,37,0,1,0,6,2,2,5,1,0,1,1,1,4,4,3,145.8,193.76,3,9,6,5,8,6,3,2,0.63,17.27,1,3,-2.52,3.55,11.45,Enrolled
1,1,1,21,0,0,1,6,2,3,2,1,1,1,1,5,5,1,8,155.67,199.88,0,1,6,1,9,10,8,8,14.77,11.28,2,5,-4.35,0.01,17.79,Graduate
0,3,2,46,0,1,0,4,2,3,8,0,1,0,1,4,2,3,7,96.29,152.64,1,9,3,1,1,8,6,4,0.77,1.94,1,2,-0.16,1.95,9.97,Graduate
1,3,2,37,1,1,1,5,2,4,6,0,1,1,1,1,3,4,7,166.07,187.45,8,5,4,4,10,9,10,2,13.46,17.39,0,0,1.77,3.57,15.62,Dropout
0,2,1,20,1,1,1,6,6,4,6,1,0,0,0,3,5,2,3,158.69,120.53,3,2,3,4,2,4,9,8,2.17,3.14,0,0,0.77,6.81,6.01,Dropout
1,3,1,54,0,1,1,4,1,8,1,0,1,0,0,4,2,3,4,96.77,184.07,2,5,4,1,9,5,3,9,12.03,0.84,0,2,0.83,6.17,11.97,Graduate
0,1,1,53,1,1,1,6,6,9,10,0,0,0,0,3,3,2,6,173.55,119.31,9,0,8,3,8,10,4,9,2.8,3.16,0,4,2.43,4.16,19.07,Enrolled
0,2,1,54,1,1,0,5,3,8,9,1,1,0,0,5,4,4,5,195.88,112.98,10,0,2,8,7,7,7,9,17.55,11.04,3,0,3.07,6.85,17.8,Graduate
1,1,1,33,0,0,0,1,3,3,5,1,0,1,0,5,5,2,6,108.04,170.75,10,3,7,1,0,8,3,2,0.6,7.61,5,2,-3.76,8.46,8.18,Dropout
1,3,1,40,1,1,1,5,4,10,9,1,0,1,0,2,1,2,7,146.1,106.42,0,5,7,6,5,9,1,0,1.98,18.95,4,2,1.83,7.87,17.84,Enrolled
0,2,1,47,1,1,1,4,3,1,3,1,1,1,0,2,2,4,8,185.0,99.94,1,6,8,6,6,1,0,3,2.88,15.55,5,0,1.42,0.12,9.99,Dropout
1,3,1,27,0,1,1,6,3,9,7,1,1,1,0,3,2,2,5,135.71,124.2,0,3,4,6,2,6,7,8,1.54,18.9,3,0,-4.18,2.09,9.78,Dropout
1,2,1,48,0,1,1,1,2,10,3,0,1,1,1,3,1,4,2,139.16,117.42,7,7,3,16,1,1,7,2,19.67,9.08,4,0,-1.03,8.74,17.2,Dropout
0,1,1,19,1,0,0,6,5,3,5,1,1,1,0,3,3,3,7,109.73,195.29,6,8,9,5,7,8,3,1,6.89,15.0,2,0,-2.57,6.7,8.74,Dropout
1,3,1,67,1,1,1,1,1,6,9,0,1,1,0,2,5,3,1,195.26,167.93,8,8,3,5,0,10,4,2,5.47,9.23,3,2,-4.13,4.89,5.57,Dropout
0,1,1,29,0,0,1,3,2,3,4,0,1,0,0,4,2,4,3,112.52,118.69,9,7,1,2,7,6,0,10,5.95,0.11,2,1,-4.12,8.33,16.12,Graduate
0,1,1,18,1,0,0,2,6,6,3,1,0,1,0,3,3,4,6,180.46,160.78,8,6,10,5,0,3,10,6,3.5,3.71,5,0,1.75,1.35,19.38,Dropout
0,2,2,17,1,1,1,6,1,1,3,1,1,1,1,5,1,2,7,125.16,157.31,8,5,8,6,1,0,1,3,12.43,13.62,4,3,-0.63,5.28,13.71,Enrolled
1,1,1,26,0,0,0,2,4,5,7,1,1,0,0,1,5,2,1,179.79,107.61,2,8,4,5,5,7,4,0,11.52,10.8,3,4,-3.61,-1.64,11.28,Enrolled
0,3,1,51,0,0,0,4,2,5,1,1,1,1,0,2,4,3,7,190.07,142.78,7,5,3,3,8,10,0,3,18.78,15.05,0,0,1.25,1.44,16.31,Dropout
0,1,1,52,1,1,0,6,3,5,9,0,0,1,0,3,1,3,3,119.74,198.89,1,3,2,8,6,3,3,6,15.69,19.22,4,4,-1.36,3.64,17.98,Enrolled
0,1,1,66,1,0,1,6,4,3,7,0,0,0,0,1,5,1,1,115.12,105.57,8,1,4,10,7,8,9,6,19.52,11.07,3,2,3.14,7.74,17.01,Graduate
1,3,2,40,0,1,0,2,4,10,7,1,1,0,1,5,5,3,4,158.29,140.13,10,2,1,3,0,4,2,1,11.78,0.56,4,5,-2.19,5.07,8.91,Graduate
1,3,2,57,0,1,0,6,3,7,8,1,0,0,1,2,5,2,5,125.73,172.07,8,2,5,9,7,10,7,0,2.93,5.62,0,1,-1.88,0.21,19.91,Enrolled
0,3,2,60,0,1,0,6,1,5,8,1,0,1,1,4,1,4,3,148.89,191.12,2,0,7,5,0,2,6,4,6.7,8.85,4,1,-2.24,6.13,16.05,Dropout
0,2,2,41,1,1,1,3,6,10,8,0,0,1,0,5,2,2,6,169.49,167.35,2,2,7,6,10,7,9,0,8.81,18.46,0,2,4.96,1.76,10.58,Dropout
1,3,1,46,1,0,1,2,5,1,7,1,1,1,1,5,2,2,4,194.31,149.15,8,2,6,7,2,4,10,6,3.94,9.33,4,2,-0.63,0.83,7.44,Enrolled
1,3,1,54,0,1,0,2,6,6,1,0,1,1,1,3,4,2,1,136.28,135.52,10,7,8,7,0,5,1,9,9.94,7.04,2,2,3.33,9.18,9.08,Graduate
0,3,1,54,0,1,0,3,2,10,10,1,0,1,1,5,2,1,2,194.66,101.59,9,1,8,5,1,0,1,6,17.83,17.92,0,0,0.33,4.19,18.92,Graduate
0,3,1,21,0,1,1,5,3,2,8,0,0,1,1,4,5,2,6,162.11,160.02,7,0,3,9,10,5,5,4,14.34,19.73,4,3,1.12,2.13,6.22,Graduate
0,2,2,53,0,1,1,5,4,1,4,0,0,0,0,5,3,3,1,131.22,139.78,5,2,1,2,2,2,6,1,18.3,8.69,4,1,4.46,4.99,7.56,Dropout
0,3,1,60,1,1,0,1,5,3,7,1,0,0,1,4,5,3,4,143.46,111.87,7,3,3,5,3,8,10,1,9.08,16.77,0,3,-2.09,9.32,17.21,Graduate
0,3,1,63,0,1,0,6,3,7,7,0,1,1,1,3,4,3,8,158.02,169.05,8,9,8,1,0,9,4,3,19.28,17.88,1,2,0.14,0.26,14.26,Graduate
0,1,1,66,0,1,1,1,3,6,2,0,1,1,1,3,3,1,8,293.25,178.24,8,8,2,5,9,3,4,2,19.53,19.46,3,1,3.07,1.34,12.68,Dropout
0,2,2,45,0,1,1,5,5,10,6,0,0,1,0,2,5,3,8,173.93,156.87,2,10,3,3,8,4,9,5,19.28,12.49,4,5,-3.12,-0.97,14.28,Graduate
0,3,1,30,1,1,0,6,5,5,5,1,1,1,1,2,2,3,6,133.49,161.12,6,10,7,3,0,10,10,8,0.76,0.39,4,4,1.1,9.86,7.57,Enrolled
1,2,2,41,1,0,1,3,4,2,6,0,0,0,1,4,1,3,2,173.13,173.6,4,2,1,4,0,5,1,6,17.0,0.71,1,2,4.1,0.06,7.12,Enrolled
0,3,1,116,0,0,0,3,6,9,7,1,1,1,1,2,4,2,1,96.15,222.81,10,3,5,9,3,5,3,4,2.32,19.14,4,0,-1.23,2.87,8.84,Enrolled
1,2,1,35,1,0,1,2,5,10,3,0,1,1,1,2,2,2,4,98.93,105.84,9,9,2,3,10,0,4,10,16.67,19.29,5,5,3.67,8.61,12.76,Graduate
1,3,1,27,1,0,1,5,1,2,9,0,1,0,0,4,3,2,1,157.85,152.1,5,3,4,6,3,7,6,5,16.5,6.79,1,4,0.31,2.89,18.84,Enrolled
0,1,1,44,0,0,0,3,1,3,5,0,1,0,1,5,3,4,5,198.84,121.58,0,2,8,7,8,1,3,0,1.76,16.73,1,2,2.48,-0.78,18.21,Graduate
1,3,1,69,1,1,1,4,6,10,4,1,1,0,0,5,1,3,1,125.4,154.18,1,1,5,1,10,6,4,7,4.02,18.09,5,4,-4.62,3.62,7.04,Graduate
1,1,2,45,1,0,1,2,6,3,4,0,0,1,1,1,4,1,2,195.49,112.45,7,8,5,10,6,9,0,0,10.64,9.57,3,1,-2.01,1.76,14.24,Graduate
0,2,2,43,0,0,1,4,6,3,7,1,1,0,1,4,2,2,3,176.83,141.59,3,4,8,4,3,8,9,9,15.55,9.92,1,3,2.6,7.91,10.15,Dropout
1,1,1,27,1,1,1,4,3,6,4,0,1,0,0,1,5,2,3,174.77,138.8,3,6,1,3,1,10,7,6,4.16,17.36,2,4,3.23,-0.67,11.78,Graduate
0,1,1,59,0,0,0,3,5,6,2,1,1,0,0,2,3,4,6,185.28,95.62,1,0,2,7,4,6,10,3,18.52,4.0,5,3,3.5,-0.71,6.01,Enrolled
0,2,1,65,1,1,1,3,3,4,1,1,1,1,1,2,5,2,4,107.32,120.44,4,3,5,10,3,9,6,6,11.71,17.14,0,0,-1.09,6.4,19.68,Enrolled
0,1,1,46,1,1,1,5,2,1,2,0,0,1,1,1,5,4,6,187.16,104.86,1,4,2,6,7,3,8,8,12.8,8.67,3,0,1.75,3.08,8.42,Graduate
1,2,1,38,0,1,0,2,5,5,2,1,0,1,0,2,3,3,2,179.95,123.14,8,2,10,10,0,5,9,3,2.89,15.49,4,2,0.63,6.64,15.74,Dropout
1,1,1,59,0,1,0,4,5,5,7,0,0,0,1,2,5,4,3,198.58,103.23,6,5,3,4,10,0,4,6,9.4,16.5,3,1,-1.3,-1.87,14.39,Graduate
0,1,1,66,1,0,0,6,4,3,8,0,0,1,0,1,4,3,5,124.9,188.36,0,8,2,9,10,7,1,2,19.09,8.98,4,4,2.79,5.03,7.15,Graduate
1,2,2,55,0,0,0,4,1,9,5,0,1,1,0,3,5,3,1,154.07,115.12,0,2,3,10,2,1,4,5,18.08,11.45,4,2,0.84,-0.09,12.72,Enrolled
1,1,2,66,1,1,0,6,3,3,4,1,0,1,1,2,5,3,4,96.71,187.58,6,2,10,10,9,8,4,8,6.61,17.64,4,4,2.26,1.67,16.34,Enrolled
0,1,2,27,1,1,0,1,2,3,7,0,1,0,1,3,4,2,6,128.13,135.2,3,4,6,6,3,1,4,6,18.645,8.6,2,3,2.88,3.53,11.89,Enrolled
0,1,1,49,1,1,0,5,2,4,1,0,1,0,1,3,2,4,5,143.76,117.25,7,3,7,5,5,0,0,2,13.11,1.74,4,2,-0.53,6.34,15.59,Dropout
1,2,1,28,0,1,0,4,6,4,2,1,0,0,0,4,2,1,1,117.48,144.84,1,8,7,3,2,4,9,6,1.95,1.16,0,5,0.49,4.92,7.69,Graduate
0,3,1,68,1,0,1,2,2,4,2,0,1,0,1,4,4,3,5,191.34,151.98,6,4,1,5,9,10,2,6,4.78,5.69,5,1,3.96,-1.42,17.96,Dropout
0,1,2,42,0,0,1,1,4,5,10,0,1,0,0,5,1,1,5,146.89,195.78,2,4,2,5,5,7,7,0,6.44,2.64,3,5,-2.92,4.09,19.69,Graduate
1,1,2,34,1,1,1,6,3,3,1,1,1,1,1,4,4,1,3,102.32,95.09,5,0,3,3,7,5,1,5,16.37,4.34,1,3,-4.93,6.56,5.62,Graduate
1,2,2,48,0,1,1,1,3,1,6,1,0,0,0,5,5,3,4,115.28,125.67,0,6,3,10,7,4,5,6,0.91,13.61,5,4,-1.76,8.04,20.445,Dropout
1,3,2,28,0,1,0,6,2,8,3,0,1,1,0,5,4,3,8,96.96,157.62,5,6,4,1,5,7,5,8,5.25,10.6,2,3,-2.47,4.97,18.67,Enrolled
1,1,1,29,0,0,0,1,3,4,5,0,0,0,0,5,2,4,5,116.08,167.49,7,3,1,5,10,2,5,3,20.174999999999997,1.75,5,2,-3.88,7.89,9.7,Enrolled
1,1,2,21,0,1,0,5,1,5,10,0,1,0,1,5,3,2,8,198.95,194.06,0,3,1,9,8,6,0,5,8.79,16.87,5,4,-3.78,0.82,9.02,Enrolled
0,3,1,53,0,1,0,3,6,8,5,1,1,0,0,3,4,1,7,176.69,104.59,9,8,8,7,7,3,4,0,9.47,7.58,1,5,2.91,3.54,7.28,Enrolled
0,1,2,51,1,0,1,4,6,9,5,0,0,1,0,1,3,4,8,229.935,186.61,2,7,8,4,4,6,3,2,14.46,19.82,2,1,2.11,4.09,10.28,Dropout
0,3,2,59,1,1,1,3,4,2,7,0,0,0,1,4,4,1,5,184.36,124.58,8,5,4,10,10,2,9,7,16.83,19.21,0,3,0.9,4.31,10.51,Dropout
1,2,2,24,1,0,0,3,4,1,7,0,1,0,0,4,1,2,6,143.09,158.58,3,2,4,6,5,4,10,3,6.04,0.1,1,0,-1.36,9.73,19.27,Enrolled
0,2,1,43,0,1,1,6,4,8,7,0,0,0,1,2,4,3,7,154.32,162.81,6,3,2,10,4,8,1,6,7.0,16.89,1,0,-0.1,-1.98,19.65,Dropout
1,3,1,49,0,0,1,1,1,9,9,0,1,0,0,1,5,2,3,142.5,122.91,9,8,9,1,1,8,5,5,1.08,12.29,0,8,-4.32,1.15,5.13,Graduate
1,3,1,20,1,1,0,4,3,9,5,0,1,0,0,1,5,3,3,158.43,126.34,8,5,7,8,3,0,8,5,12.42,14.77,0,3,-3.54,8.82,11.14,Dropout
1,2,1,28,1,1,0,3,3,10,1,0,1,1,1,1,2,4,4,145.22,175.6,4,9,8,8,7,10,7,8,7.28,12.44,4,5,-2.14,0.86,19.59,Dropout
1,2,2,39,0,1,0,2,3,8,10,0,0,0,0,2,5,4,8,110.96,194.71,0,5,4,9,3,4,0,20,10.97,2.44,4,2,-3.17,2.52,12.03,Dropout
1,2,2,43,0,1,0,3,4,7,4,0,0,1,0,4,1,3,8,157.37,107.07,0,0,4,9,5,0,9,3,8.44,19.54,0,4,0.84,3.81,6.22,Dropout
0,3,2,34,1,0,1,2,5,5,10,1,1,1,1,1,2,1,2,123.74,97.44,5,0,9,1,10,6,3,6,19.85,18.41,1,5,-4.61,0.22,5.6,Enrolled
1,3,2,53,0,0,1,2,2,8,9,1,0,1,1,2,4,1,8,125.52,174.68,5,6,8,3,0,8,10,5,2.72,5.16,4,5,1.33,4.33,21.9,Dropout
1,1,2,17,1,1,1,3,6,2,4,0,1,1,1,3,4,1,1,185.08,123.14,2,4,4,4,8,4,2,7,5.43,3.69,5,4,2.14,2.03,5.68,Dropout
