"Marital_status","Application_mode","Application_order","Course","Daytime/evening_attendance	","Previous_qualification","Previous_qualification_(grade)","Nationality","Mothers_qualification","Fathers_qualification","Mothers_occupation","Fathers_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_(credited)","Curricular_units_1st_sem_(enrolled)","Curricular_units_1st_sem_(evaluations)","Curricular_units_1st_sem_(approved)","Curricular_units_1st_sem_(grade)","Curricular_units_1st_sem_(without_evaluations)","Curricular_units_2nd_sem_(credited)","Curricular_units_2nd_sem_(enrolled)","Curricular_units_2nd_sem_(evaluations)","Curricular_units_2nd_sem_(approved)","Curricular_units_2nd_sem_(grade)","Curricular_units_2nd_sem_(without_evaluations)","Unemployment_rate","Inflation_rate","GDP","Target","Completed_exams_ratio","Passed_exams_ratio"
1,1,2,3,1,2,115,1,3,3,5,6,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,"Graduate",100,66.6666666666667
1,1,1,2,1,2,138,1,3,3,10,1,131,1,0,0,1,0,0,18,0,0,5,9,5,12.6666666666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,"Enrolled",90,56.25
1,1,1,4,1,2,135,1,3,3,7,7,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,"Graduate",100,83.3333333333333
1,1,2,1,1,2,127,1,1,1,1,8,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.9333333333333,0,0,7,7,6,13.7166666666667,0,16.2,0.3,-0.92,"Enrolled",85.7142857142857,75
1,4,1,7,1,3,150,1,1,1,2,1,150,0,0,0,1,1,0,21,0,0,6,15,5,11.8571428571429,0,0,6,17,5,10.5714285714286,0,16.2,0.3,-0.92,"Enrolled",83.3333333333333,31.25
1,2,1,5,1,2,125,1,1,1,1,1,130,1,0,0,1,1,0,20,0,2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,"Graduate",83.3333333333333,62.5
1,1,1,4,1,2,143,1,2,2,2,4,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.3333333333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,"Enrolled",50,29.4117647058824
1,1,1,3,0,2,138,1,3,3,7,3,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,"Graduate",100,85.7142857142857
1,1,1,4,0,2,130,1,1,1,10,7,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,"Graduate",100,66.6666666666667
1,3,1,6,1,2,130,1,4,4,7,4,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,"Dropout",7.14285714285714,7.14285714285714
1,3,1,6,1,4,133.1,1,6,6,9,9,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,"Dropout",0,0
1,2,1,4,1,2,140,1,5,5,4,4,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,"Dropout",30,16.6666666666667
3,3,1,4,0,2,120,1,3,3,7,1,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,"Graduate",100,76.9230769230769
1,4,1,2,1,3,120,2,1,1,10,4,120,0,0,1,0,0,0,20,1,2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,"Dropout",50,25
1,1,5,3,1,2,126,1,1,1,1,1,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout",36.3636363636364,36.3636363636364
1,1,2,4,1,2,133,1,1,1,1,5,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,"Graduate",100,100
1,1,6,1,1,2,103,1,2,2,1,1,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,"Graduate",80,66.6666666666667
1,1,1,3,1,2,120,1,2,2,3,3,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,"Dropout",75,64.2857142857143
1,3,1,4,0,2,133.1,1,5,5,7,7,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,"Dropout",0,0
1,1,1,4,0,2,154,1,4,4,2,3,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.3333333333333,1,7.6,2.6,0.32,"Enrolled",50,25
1,1,2,3,1,2,130,1,3,3,7,7,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,"Graduate",91.6666666666667,78.5714285714286
1,1,6,1,1,2,132,1,5,5,5,5,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,"Graduate",86.6666666666667,76.4705882352941
1,4,1,3,0,3,130,1,2,2,7,7,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,"Graduate",100,92.3076923076923
1,1,1,3,1,2,139,1,5,5,7,7,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,"Graduate",91.6666666666667,78.5714285714286
1,3,1,8,1,2,130,1,3,3,7,5,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,"Graduate",100,100
1,1,1,1,1,2,139,1,5,5,4,4,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.8333333333333,0,0,8,10,6,11.8333333333333,0,9.4,-0.8,-3.12,"Enrolled",75,60
1,1,1,3,1,2,127,1,2,2,5,5,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,"Enrolled",58.3333333333333,30.4347826086957
1,1,3,2,1,2,167,1,5,5,10,10,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,"Graduate",100,83.3333333333333
1,3,1,4,0,2,130,1,4,4,7,7,120,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,"Dropout",100,45.4545454545455
1,1,1,1,1,2,130,1,2,2,3,3,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,"Graduate",100,78.9473684210526
2,4,1,8,1,1,130,1,2,2,2,1,130,0,0,0,1,0,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,"Dropout",0,0
1,3,1,2,1,1,129,1,1,1,1,1,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,"Dropout",88.2352941176471,68.1818181818182
1,1,1,1,1,2,141,1,4,4,5,8,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,"Graduate",100,100
1,1,3,5,1,2,125,1,4,4,2,7,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,"Enrolled",0,0
1,1,2,1,1,2,125,1,3,3,7,7,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,"Graduate",86.6666666666667,65
1,4,1,3,1,3,130,1,3,3,7,7,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,"Graduate",100,85.7142857142857
1,1,3,5,1,2,133,1,2,2,2,5,126,1,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Enrolled",0,0
1,1,1,5,1,2,127,1,2,2,10,2,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,"Enrolled",50,42.8571428571429
1,2,1,5,1,2,116,1,2,2,10,1,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,"Enrolled",0,0
3,2,1,1,1,4,133.1,1,2,2,3,3,126,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,"Dropout",66.6666666666667,50
1,1,3,5,1,2,139,1,3,3,3,1,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Graduate",0,0
1,4,1,7,1,3,130,1,3,3,7,7,130,1,0,0,1,1,0,23,0,0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,"Graduate",100,80
1,1,3,4,1,2,125,1,2,2,5,5,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,"Dropout",90,50
1,3,1,8,1,2,160,1,3,3,5,8,100,0,0,0,1,1,0,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,"Enrolled",91.6666666666667,73.3333333333333
1,1,1,4,1,2,148,1,4,4,3,3,134,0,0,0,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Enrolled",0,0
1,1,1,1,1,2,150,1,5,5,6,2,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,"Graduate",100,93.75
1,1,1,5,1,2,141,1,3,3,3,8,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,"Dropout",0,0
1,1,4,8,1,2,118,1,4,4,3,5,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,"Dropout",33.3333333333333,16.6666666666667
1,1,2,3,1,2,142,1,4,4,7,7,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,"Graduate",75,47.3684210526316
1,1,3,4,1,2,120,1,3,3,2,5,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,"Dropout",60,31.5789473684211
1,1,4,8,1,2,106,1,3,3,5,5,106,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,"Dropout",41.6666666666667,26.3157894736842
1,1,4,3,1,2,121,1,2,2,7,6,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Graduate",100,100
1,1,4,1,1,2,150,1,4,4,7,7,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,"Graduate",100,93.75
2,3,1,3,0,2,120,1,5,5,7,4,117,0,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,"Graduate",100,85.7142857142857
1,1,6,3,1,2,114,1,3,3,7,7,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Dropout",83.3333333333333,66.6666666666667
1,3,1,4,0,1,140,1,1,1,1,1,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,"Dropout",0,0
1,3,1,7,1,1,160,1,1,1,2,1,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,"Dropout",66.6666666666667,51.6129032258064
1,1,1,8,1,2,120,1,3,3,2,2,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,"Enrolled",80,57.1428571428571
2,3,1,3,0,2,130,1,5,5,7,4,110,1,0,0,1,0,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,"Graduate",91.6666666666667,61.1111111111111
1,2,1,1,1,2,160,1,5,5,7,5,161,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,"Graduate",87.5,87.5
1,3,1,4,1,2,120,1,2,2,2,3,100,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,"Graduate",90,64.2857142857143
1,1,1,5,1,2,124,1,3,3,2,9,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,"Graduate",91.6666666666667,73.3333333333333
1,1,6,4,1,2,143,1,4,4,7,7,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,"Enrolled",90,81.8181818181818
1,2,2,6,1,2,115,1,4,4,7,4,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,"Enrolled",20,11.1111111111111
1,3,1,1,1,2,133.1,1,2,2,2,8,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout",0,0
1,1,2,3,1,2,133.1,2,3,3,7,7,105,1,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,"Graduate",100,100
1,5,1,2,1,2,133.1,2,2,2,2,2,100,0,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,"Dropout",16.6666666666667,15.3846153846154
2,3,1,3,1,4,133.1,1,5,5,9,9,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.6666666666667,0,0,6,14,0,0,1,7.6,2.6,0.32,"Dropout",25,11.5384615384615
2,3,1,3,0,2,133.1,1,5,5,7,7,114,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.3333333333333,0,12.7,3.7,-1.7,"Graduate",100,77.7777777777778
1,5,1,6,1,2,130,2,4,4,7,1,137,1,0,0,1,1,0,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,"Enrolled",80,40
1,1,5,3,1,2,135,1,5,5,3,3,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Graduate",100,100
1,1,5,1,1,2,132,1,5,5,5,5,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.4777777777778,0,12.4,0.5,1.79,"Graduate",100,93.75
1,1,1,2,1,2,135,1,2,2,7,1,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,"Enrolled",100,71.4285714285714
1,1,4,1,1,2,115,1,1,1,1,1,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout",28.5714285714286,23.5294117647059
1,4,1,2,1,1,130,1,4,4,7,7,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,"Dropout",68.4210526315789,50
1,1,4,5,1,2,133.1,1,2,2,7,8,110,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,"Graduate",0,0
2,3,1,3,0,2,130,1,5,5,4,3,113.5,1,0,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout",0,0
3,3,1,7,1,4,133.1,1,5,5,7,4,160,0,0,0,1,0,0,43,0,13,18,19,18,14.6315789473684,0,10,13,14,13,14.2307692307692,1,15.5,2.8,-4.06,"Graduate",100,93.9393939393939
1,1,1,3,1,2,123,1,3,3,7,5,117.4,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,"Dropout",0,0
1,2,1,5,1,2,130,1,1,1,1,6,122.2,0,0,1,1,0,0,20,0,4,10,12,10,13,0,5,11,11,11,12.2727272727273,0,11.1,0.6,2.02,"Graduate",100,91.304347826087
1,1,2,3,1,2,122,1,5,5,2,5,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,"Dropout",0,0
1,1,1,2,1,2,113,1,2,2,2,2,106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,"Dropout",66.6666666666667,25
1,1,5,1,1,2,111,1,1,1,2,1,108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,"Dropout",78.5714285714286,57.8947368421053
1,1,2,3,1,2,133.1,1,3,3,7,1,107,1,0,0,1,0,0,20,0,0,7,12,6,11.6666666666667,0,0,7,10,3,13,0,16.2,0.3,-0.92,"Enrolled",64.2857142857143,40.9090909090909
1,1,1,3,1,2,142,1,5,5,4,5,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.8571428571429,0,0,6,6,6,15,0,13.9,-0.3,0.79,"Graduate",100,85.7142857142857
1,1,2,4,1,2,123,1,2,2,2,5,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,"Enrolled",60,30
1,1,1,2,1,2,131,1,3,3,7,7,139.8,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,"Graduate",100,90.9090909090909
1,1,3,3,1,2,158,1,2,2,2,5,157,1,0,0,1,0,0,18,0,0,6,6,6,12.6666666666667,0,0,6,7,6,12.5714285714286,0,10.8,1.4,1.74,"Graduate",100,92.3076923076923
1,1,2,1,1,2,122,1,5,5,7,7,131,1,0,0,1,0,0,18,0,0,7,7,6,12.5166666666667,1,0,7,7,6,12.5166666666667,1,7.6,2.6,0.32,"Dropout",85.7142857142857,85.7142857142857
1,2,1,1,1,2,130,1,4,4,7,3,100,0,0,0,1,0,0,20,0,0,7,11,6,11.6166666666667,0,0,7,7,7,13,0,13.9,-0.3,0.79,"Enrolled",92.8571428571429,72.2222222222222
1,1,1,3,1,2,154,1,3,3,7,5,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,"Enrolled",50,24
1,1,1,4,1,2,120,1,3,3,10,1,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.3333333333333,0,0,5,10,3,10.6666666666667,0,12.4,0.5,1.79,"Enrolled",60,28.5714285714286
1,1,2,2,1,2,140,1,5,5,7,5,137,0,0,0,1,0,0,18,0,0,5,12,5,13.1428571428571,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,"Graduate",100,55.5555555555556
1,1,1,4,1,2,127,1,1,1,2,3,121.8,0,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14,0,11.1,0.6,2.02,"Graduate",100,100
1,1,1,8,1,2,133.1,1,2,2,2,3,131,1,0,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,"Dropout",41.6666666666667,20.8333333333333
1,1,2,4,1,2,120,1,3,3,7,5,118.6,1,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,"Graduate",90,52.9411764705882
1,1,1,5,1,2,137,1,1,1,1,7,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout",0,0
1,1,1,4,1,2,131,1,4,4,7,7,127.9,0,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,"Graduate",100,100
1,1,1,2,1,2,130,1,3,3,2,5,121.3,1,0,0,1,0,0,19,0,0,6,15,6,14.1666666666667,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,"Graduate",100,42.8571428571429
1,1,6,1,1,2,122,1,2,2,2,3,117.1,1,0,0,1,0,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0,0,13.9,-0.3,0.79,"Dropout",35.7142857142857,41.6666666666667
1,4,1,2,1,3,160,1,5,5,7,7,160,1,0,0,1,0,0,20,0,1,6,7,6,14.1666666666667,0,1,6,17,5,13.7777777777778,0,12.4,0.5,1.79,"Graduate",91.6666666666667,45.8333333333333
1,1,1,3,1,2,146,1,3,3,7,1,145.3,1,0,0,1,0,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,"Enrolled",83.3333333333333,66.6666666666667
1,1,3,3,1,2,131,1,2,2,3,1,122.6,1,0,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13.6666666666667,0,12.4,0.5,1.79,"Graduate",100,92.3076923076923
