"Marital_status","Application_mode","Application_order","Course","Daytime/evening_attendance	","Previous_qualification","Previous_qualification_(grade)","Nationality","Mothers_qualification","Fathers_qualification","Mothers_occupation","Fathers_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_(credited)","Curricular_units_1st_sem_(enrolled)","Curricular_units_1st_sem_(evaluations)","Curricular_units_1st_sem_(approved)","Curricular_units_1st_sem_(grade)","Curricular_units_1st_sem_(without_evaluations)","Curricular_units_2nd_sem_(credited)","Curricular_units_2nd_sem_(enrolled)","Curricular_units_2nd_sem_(evaluations)","Curricular_units_2nd_sem_(approved)","Curricular_units_2nd_sem_(grade)","Curricular_units_2nd_sem_(without_evaluations)","Unemployment_rate","Inflation_rate","GDP","Target","Completed_exams_ratio","Passed_exams_ratio","CU_enrolled_1st_sem_winsorized","CU_enrolled_2nd_sem_winsorized","CU_evaluations_1st_sem_winsorized","CU_evaluations_2nd_sem_winsorized","CU_approved_1st_sem_winsorized","CU_approved_2nd_sem_winsorized","CU_grade_1st_sem_clean","CU_grade_2nd_sem_clean","PC1","PC2","PC3"
1,1,1,3,1,2,127,1,2,2,5,5,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,"Enrolled",58.3333333333333,30.4347826086957,6,6,11,12,4,3,14,11,-0.99029541701399,1.05936259307912,1.24140790605439
1,1,3,2,1,2,167,1,5,5,10,10,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,"Graduate",100,83.3333333333333,5,5,7,5,5,5,14.7142857142857,15.8,1.16633924851405,-2.90531810666274,1.4574618817495
1,3,1,4,0,2,130,1,4,4,7,7,120,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,"Dropout",100,45.4545454545455,5,5,12,10,5,5,10.6,11,-0.925650970517346,0.445202746748253,-0.417389277522488
1,1,1,1,1,2,130,1,2,2,3,3,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,"Graduate",100,78.9473684210526,7,8,9,10,7,8,13.0444444444444,13.595,2.36109419817516,0.332644927149325,-0.143454120907822
2,4,1,8,1,1,130,1,2,2,2,1,130,0,0,0,1,0,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,"Dropout",0,0,6,6,10,6,0,0,10,10,-4.51669062675907,1.02159976283018,-0.597084812980917
1,3,1,2,1,1,129,1,1,1,1,1,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,"Dropout",88.2352941176471,68.1818181818182,6,10,9,13,5,8,13,12.9,1.9123858871532,1.36077020486536,0.054491663394087
1,1,1,1,1,2,141,1,4,4,5,8,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,"Graduate",100,100,8,8,8,8,8,8,14.935,14.935,3.57762636107478,-0.527318199385632,0.358177555641186
1,1,2,1,1,2,125,1,3,3,7,7,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,"Graduate",86.6666666666667,65,7,8,8,12,6,7,13.1333333333333,12.2214285714286,1.4567731194533,0.869069167905473,-0.152266061202424
1,4,1,3,1,3,130,1,3,3,7,7,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,"Graduate",100,85.7142857142857,6,6,7,7,6,6,12,12,0.655663732153557,-1.07723928688282,-1.10695246489921
1,1,1,5,1,2,127,1,2,2,10,2,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,"Enrolled",50,42.8571428571429,6,6,6,8,5,1,11.4,10,-2.02530401052872,-0.0603642722698746,-1.0730630101767
1,2,1,5,1,2,116,1,2,2,10,1,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,"Enrolled",0,0,6,6,6,6,0,0,10,10,-4.57568084270028,0.303978041607143,-0.982222224409364
3,2,1,1,1,4,133.1,1,2,2,3,3,126,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,"Dropout",66.6666666666667,50,7,8,10,10,5,5,11.9,11,-0.0215140568165676,1.44592929560221,-0.716840697436427
1,4,1,7,1,3,130,1,3,3,7,7,130,1,0,0,1,1,0,23,0,0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,"Graduate",100,80,6,6,8,7,6,6,12.5714285714286,12.4285714285714,0.805793289085718,-0.993138323920036,-0.592167763543908
1,1,3,4,1,2,125,1,2,2,5,5,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,"Dropout",90,50,5,5,8,10,5,4,11.2,10.75,-1.14514926694644,-0.289763900554449,-0.589323420570134
1,3,1,8,1,2,160,1,3,3,5,8,100,0,0,0,1,1,0,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,"Enrolled",91.6666666666667,73.3333333333333,6,6,7,8,6,5,12,10.8,0.0143723591531977,-0.571482140813569,-1.20399225267761
1,1,1,4,1,2,148,1,4,4,3,3,134,0,0,0,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Enrolled",0,0,5,5,9,5,0,0,10,10,-4.95808181305887,0.112101170841788,-0.550884584305319
1,1,1,1,1,2,150,1,5,5,6,2,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,"Graduate",100,93.75,7,8,8,8,7,8,11.975,13.75,2.28382013872703,-0.195651627923427,-0.965511709699399
1,1,4,8,1,2,118,1,4,4,3,5,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,"Dropout",33.3333333333333,16.6666666666667,6,6,12,12,3,1,11.6666666666667,12,-2.24288822700543,1.66443334574152,1.19005748058236
1,1,2,3,1,2,142,1,4,4,7,7,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,"Graduate",75,47.3684210526316,6,6,8,11,6,3,12.3333333333333,12.3333333333333,-0.362495000511894,0.193933392263918,0.346767811220682
1,1,3,4,1,2,120,1,3,3,2,5,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,"Dropout",60,31.5789473684211,5,5,8,11,3,3,10.3333333333333,10.8571428571429,-2.3938166404822,0.276765969535362,-0.32554950021868
1,1,4,8,1,2,106,1,3,3,5,5,106,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,"Dropout",41.6666666666667,26.3157894736842,6,6,8,11,4,1,10.5,11,-2.37694506299446,0.971098392627806,-0.28560699996942
1,1,4,3,1,2,121,1,2,2,7,6,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Graduate",100,100,6,6,6,6,6,6,13.6666666666667,13.3333333333333,1.40864287073017,-1.97116944572611,-0.329188912521995
1,1,4,1,1,2,150,1,4,4,7,7,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,"Graduate",100,93.75,7,8,7,9,7,8,14.8428571428571,15.0555555555556,3.15914683414552,-0.781356353696572,0.629551128062443
2,3,1,3,0,2,120,1,5,5,7,4,117,0,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,"Graduate",100,85.7142857142857,6,6,8,6,6,6,12,11.6666666666667,0.573456365542198,-1.028026398597,-1.25140256203452
1,1,6,3,1,2,114,1,3,3,7,7,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Dropout",83.3333333333333,66.6666666666667,6,6,8,7,5,5,12.2,12.2,-0.0334261004703261,-0.720746093805077,-0.520354000990237
1,3,1,4,0,1,140,1,1,1,1,1,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,"Dropout",0,0,5,5,5,5,0,0,10,10,-5.01707202900008,-0.605520550381249,-0.936021995733765
1,3,1,7,1,1,160,1,1,1,2,1,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,"Dropout",66.6666666666667,51.6129032258064,11,10,16,14,6,8,12.1666666666667,13.3,2.57078986963505,4.50957089742759,0.179729985269894
1,1,1,8,1,2,120,1,3,3,2,2,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,"Enrolled",80,57.1428571428571,5,5,6,8,5,3,12,11.3333333333333,-1.14712195705838,-1.19094316647286,-0.465261226543684
2,3,1,3,0,2,130,1,5,5,7,4,110,1,0,0,1,0,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,"Graduate",91.6666666666667,61.1111111111111,6,6,7,11,6,5,11,11,-0.217773898885925,0.169896746269928,-1.05033440386526
1,2,1,1,1,2,160,1,5,5,7,5,161,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,"Graduate",87.5,87.5,8,8,8,8,7,7,13.08,13.08,2.15817926418187,0.153617760516319,-0.735724111664583
1,3,1,4,1,2,120,1,2,2,2,3,100,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,"Graduate",90,64.2857142857143,5,5,7,7,4,5,10.5,11.6,-1.04910338515684,-1.17330732703917,-1.15907236963477
1,1,1,5,1,2,124,1,3,3,2,9,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,"Graduate",91.6666666666667,73.3333333333333,6,6,9,6,6,5,10.6666666666667,11.2,-0.206615213195836,-0.442659423249803,-1.63188495983634
1,1,6,4,1,2,143,1,4,4,7,7,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,"Enrolled",90,81.8181818181818,5,5,6,5,4,5,14,13.8,0.273144765641794,-2.64965736344789,0.482731668499741
1,2,2,6,1,2,115,1,4,4,7,4,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,"Enrolled",20,11.1111111111111,5,5,9,9,2,0,10,10.846,-3.93098256405299,0.54302639932447,-0.0309657519720551
1,3,1,1,1,2,133.1,1,2,2,2,8,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout",0,0,7,7,16,7,0,0,10,10,-4.00156167053276,2.82812550634737,-0.161863277370957
1,1,2,3,1,2,133.1,2,3,3,7,7,105,1,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,"Graduate",100,100,6,6,6,6,6,6,14,13.5,1.51185861037696,-2.04126607048011,-0.141662834289594
1,5,1,2,1,2,133.1,2,2,2,2,2,100,0,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,"Dropout",16.6666666666667,15.3846153846154,6,6,7,6,2,0,12,12.218,-2.93930577214511,-0.287479115395206,0.372457455148443
2,3,1,3,1,4,133.1,1,5,5,9,9,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.6666666666667,0,0,6,14,0,0,1,7.6,2.6,0.32,"Dropout",25,11.5384615384615,6,6,12,14,3,0,12.6666666666667,12.6753333333334,-2.17337357076816,1.88210576629831,2.20447937211053
