Gender,Marital_status,Nationality,Age_at_enrollment,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Attendance,Educational_special_needs,International,Application_mode,Application_order,Previous_qualification,Course,Previous_qualification_grade,Admission_grade,Target,Curricular_units_1st_sem_(credited),Curricular_units_2nd_sem_(credited),Curricular_units_1st_sem_(enrolled),Curricular_units_2nd_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_2nd_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_2nd_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_2nd_sem_(grade),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(without_evaluations),GDP,Inflation_rate,Unemployment_rate
0,1,1,21,0,0,0,2,2,10,8,0,1,0,0,1,2,2,4,152.84898101732122,154.0125796378125,Enrolled,0,0,6,7,3,2,4,5,12.090421864606272,12.48096200467426,1,1,0.17581149172892196,2.5645860386977395,8.376646248210973
1,1,1,22,0,0,0,4,2,2,9,1,1,0,0,2,1,2,2,163.44767838194758,170.9441106126647,Enrolled,1,1,4,3,3,4,2,3,11.405671785461346,11.348202451371723,0,0,2.676007077711666,1.6709620942520431,7.064911826911923
1,1,1,24,0,0,0,2,3,7,1,0,1,0,0,1,1,2,6,132.76283413196555,129.50337491330353,Enrolled,1,1,7,7,0,-1,4,5,15.244984103936218,14.557531388260848,2,0,1.2936766465448664,1.7179026762407383,8.530689644708435
0,1,1,17,0,0,0,1,2,7,8,0,1,0,0,1,2,2,8,182.68202054464518,166.12116888193304,Dropout,3,0,6,6,3,4,4,5,17.48615934259348,17.037423543473217,1,1,2.237725784855103,2.5644986564924905,6.581265036341984
0,1,1,28,1,0,0,2,3,6,10,0,1,0,0,2,3,2,6,118.80861214321035,124.76464175963679,Dropout,0,1,7,8,6,5,3,4,14.84970557150152,14.925388954434595,0,0,-0.13545900919635834,1.4243097571938297,9.618130500526222
0,1,1,17,0,0,0,2,2,7,1,0,1,0,0,2,1,2,5,135.132715522726,145.85741170398197,Graduate,1,1,6,5,0,-1,4,2,13.575468691332706,12.415765988399423,1,0,1.8947783860783456,1.1454276000228436,9.991179003981449
0,2,1,18,0,0,0,2,5,7,3,1,1,0,0,1,1,2,1,124.56885087163455,107.57137700998065,Graduate,0,1,5,4,5,4,3,4,12.05149225783347,12.764908645604212,0,0,3.671253960743061,2.1901444917898005,7.261423141451118
0,2,1,21,0,0,0,2,2,7,4,1,0,0,0,3,3,2,8,141.27176502920096,140.9063276415453,Enrolled,0,0,6,7,1,1,3,7,16.15590341699027,16.56242614065029,0,0,1.0646779497711214,1.7070685740509746,9.684943216774334
0,1,1,23,0,0,0,2,3,2,4,1,1,0,0,2,2,2,3,174.61824701230597,165.30095629517757,Graduate,0,0,5,6,1,0,3,3,13.173209804920367,12.26794617728959,0,1,2.2282225232738324,2.136825792147883,6.000570309498793
0,1,1,29,1,0,1,5,3,2,7,0,1,0,0,1,4,2,3,135.2318971370883,146.50127455394457,Graduate,0,0,5,4,0,-1,3,4,15.601457234567736,15.846138301399066,0,0,2.4567595666577198,0.7213706024986589,7.973088641837721
1,1,1,17,0,0,0,3,2,1,4,0,1,0,0,5,1,2,4,148.43169446511118,160.25628176492322,Dropout,2,0,5,4,1,0,3,4,17.356893321362026,17.589781207900717,0,0,1.6573194325149352,0.9867187839680716,9.873611485684105
0,1,1,18,1,0,0,4,2,2,10,0,1,0,0,1,3,2,4,95.0,95.0,Graduate,0,0,6,7,3,2,2,3,11.962887039409097,12.171762750513498,1,0,2.7438055871805864,1.4139965536352288,6.771326683613162
0,1,1,17,0,0,0,4,2,3,10,1,0,0,0,1,1,2,8,148.5538112887743,135.39764824514089,Graduate,0,1,7,7,6,5,4,5,16.666848419396317,14.627292688501324,0,0,2.4574767113776894,1.992289010489038,7.258769549842375
0,2,1,21,0,0,0,3,2,7,4,1,1,0,0,1,2,4,2,159.9694240287756,162.41639015213835,Graduate,2,1,6,6,3,4,6,3,14.299167770354565,15.774464909009268,0,0,1.1779706472843916,0.8527397665306603,6.458687798895624
0,1,1,22,0,0,1,2,2,5,6,1,0,0,0,1,1,1,6,142.45882855174753,131.3674387574332,Graduate,1,0,6,5,4,4,4,5,14.69146520190486,16.419643514843752,0,0,0.6861440883533405,1.9728228122292482,10.955296911448773
1,2,1,29,0,0,0,1,2,7,6,0,1,0,0,1,1,2,1,118.67400914502852,127.25161157043556,Graduate,0,2,5,6,2,3,2,4,15.923269069516504,14.933509676185619,1,1,1.1457366246850786,1.0126820255800852,10.098431143505493
0,1,1,22,0,0,0,3,2,5,6,0,1,0,0,2,2,1,3,115.990699921885,114.67894730417375,Graduate,1,0,6,6,4,5,6,4,10.073402647236922,10.0,1,1,0.9233064881817155,2.188142111398324,8.897471459118227
0,1,1,26,0,0,0,2,2,6,4,0,0,0,0,1,2,2,6,128.90923753492012,144.96425285241324,Graduate,1,0,4,5,4,3,3,3,15.358970846327802,16.54683871126065,0,0,2.279559132157668,1.601947565277448,7.896041439354318
1,2,1,24,0,0,1,1,2,2,2,1,0,0,0,5,1,2,7,115.82322411930852,132.32268908951002,Graduate,0,0,5,6,2,3,2,5,14.446000144658857,15.991018134275647,0,0,2.9926930173074453,1.8589264209777618,7.290190577307268
0,1,1,19,0,0,0,2,1,7,1,0,1,0,0,2,2,2,4,171.51991502786228,187.04039111961657,Enrolled,0,1,7,6,0,-1,6,5,15.680977231555396,15.020742524186957,0,1,2.2465310134830654,1.7010321233513128,8.3923267720642
1,1,1,17,0,0,0,3,1,7,2,0,1,0,0,4,1,2,7,149.35001037936712,153.37938578605912,Graduate,0,2,4,5,3,4,2,5,14.396152764301476,14.917382517972358,0,0,2.1075321744104927,1.7513670410291076,7.907252303032239
0,1,1,22,1,0,0,6,3,4,8,1,0,1,0,1,2,2,8,168.89363939037182,159.43606309718854,Enrolled,0,1,6,7,2,3,5,4,12.983508637003428,13.223565865660722,0,1,3.971330507844085,0.6094012519517219,6.2349916130603935
0,1,1,17,0,1,1,2,3,4,3,1,1,0,0,1,1,2,8,134.21797703290986,119.38674388377636,Graduate,0,1,7,8,5,6,5,5,13.091216367266709,12.399126237273887,1,1,-0.004559093827738003,2.229164676551065,8.832568348459287
1,3,1,27,0,0,1,3,5,3,1,0,1,0,0,1,3,3,3,124.70974742092723,130.65588018183038,Graduate,0,1,4,3,3,2,1,3,13.27243268190684,14.562885721753734,0,0,1.8517756615755125,1.2080891891240737,8.633086003890812
1,1,1,20,0,0,0,4,1,7,7,0,1,0,0,3,2,2,3,125.94142861229903,132.6350938912632,Graduate,2,0,7,6,6,6,5,4,15.210630454379691,14.482492631478316,0,0,3.0247653506507173,1.8370779037135145,8.32256264785188
1,3,1,27,1,1,0,2,1,7,1,1,0,0,0,1,1,2,6,130.75592573318886,133.3761745415156,Enrolled,1,0,4,3,0,0,1,3,17.1663145744537,17.09157029429924,0,0,1.9315281761442276,1.615114943943385,7.6103397447597745
0,3,1,19,0,0,0,1,1,7,1,1,0,0,0,4,1,4,6,130.11305908852927,116.82439842206495,Graduate,2,1,4,3,1,1,3,3,10.89863832979989,10.0,0,0,2.050703932722486,1.3072337063846997,8.243327372234488
0,2,1,22,0,0,0,2,3,3,7,1,1,0,0,1,1,2,4,164.43583514434246,156.45940068017387,Graduate,2,0,7,6,7,7,5,4,12.058608145482037,11.540350449928104,0,0,1.348420812793453,1.7789577469907858,8.520743533085902
1,1,1,22,0,1,0,4,3,2,6,0,1,0,1,4,1,2,2,158.2729253543234,159.10614066901763,Dropout,1,3,7,8,7,6,4,7,12.844252715516589,13.34604177354074,0,1,2.928174556456329,0.8647897750827808,6.280745846662976
0,1,2,21,0,1,0,2,2,1,1,1,1,0,0,1,1,2,5,145.4175518506448,139.28623207546414,Graduate,0,1,5,4,4,5,4,3,10.011806171525885,11.707519227718082,0,0,1.5388718022103578,1.0580219220877056,9.183398206604764
0,2,2,19,0,0,0,2,4,1,5,1,1,1,0,1,5,2,4,106.80525638214054,99.04644608344876,Graduate,0,1,6,6,4,3,5,4,11.661061950994405,11.832617525021165,0,0,2.9988114730562048,1.1210327650094223,6.939636352403075
0,1,1,23,1,0,0,2,3,2,5,1,1,0,0,5,4,2,2,145.90111060378436,136.2357317380747,Enrolled,0,0,5,5,3,3,4,2,12.657656524892158,13.283423073548132,0,0,3.526257038398035,1.5156396289974767,6.569459776785384
0,1,1,17,0,0,0,4,6,2,6,0,0,0,0,4,2,2,6,133.7840690090349,132.43091559848312,Dropout,2,0,7,6,2,1,6,5,14.347407801228483,14.978773856076556,1,1,1.620768956652377,1.8191312730618598,10.65563110359462
1,1,1,17,0,0,0,5,1,6,7,0,1,0,0,4,1,2,6,168.12470207884363,166.05016890966914,Enrolled,2,0,7,8,1,0,4,6,14.55342834609781,15.114521356578248,0,0,1.360209889512513,1.3955792902103241,9.643916462913435
0,1,1,27,1,0,0,2,1,4,3,0,0,0,0,1,4,2,3,157.90863891455226,149.6421857074081,Graduate,1,2,6,6,5,4,4,5,12.36068193531349,11.892635052136496,0,0,1.139751256153442,1.135601422784425,7.398843145971069
1,1,1,25,0,0,0,5,2,5,5,1,1,0,0,5,3,3,7,142.8432560261037,142.94578259700532,Graduate,2,1,7,6,3,3,4,4,18.04048561074695,17.478126043730928,0,0,2.6504795282579545,2.0740637680230383,6.642021355767001
0,1,1,21,1,1,0,2,1,6,7,0,1,0,0,2,1,4,1,98.04611269446488,100.54047958362845,Dropout,0,0,5,4,5,6,4,2,13.09186019208319,10.0,0,0,2.5961331286345697,2.375564292650675,6.89345142921382
0,1,1,29,1,0,0,2,5,7,9,0,1,0,0,3,1,4,4,137.27808906267856,140.80760487388315,Enrolled,1,0,4,5,4,5,3,3,14.815328950260955,14.98323336661583,2,0,2.296601569798775,1.2562858115391193,7.030289764965863
0,2,1,20,0,0,0,5,2,7,7,0,1,0,0,2,2,2,8,126.9339062633923,117.35968178481909,Dropout,0,0,4,5,3,4,3,4,14.333114012322278,14.262568035751821,0,0,1.6391044339541878,1.1376785927923192,7.870537631394317
0,1,1,28,0,0,1,3,3,3,5,1,1,0,0,3,1,2,2,148.10681927956315,145.03552219262744,Dropout,0,0,5,4,3,2,5,3,14.874623485387803,15.470542979542266,0,1,2.658893127255214,1.4612927896618164,8.319008477501924
1,3,1,22,0,0,0,2,2,7,6,1,0,0,0,2,1,2,2,117.1575569516961,117.31798181128063,Graduate,2,0,4,4,4,5,2,4,15.974214437965086,17.224457333305885,0,0,3.1895715217159513,1.6766926064924907,7.900276879866037
1,1,1,17,0,0,0,2,2,8,6,1,0,0,0,2,1,2,4,145.2468495831304,146.49862201572924,Dropout,1,0,4,5,1,2,3,3,13.825856231146307,13.516276717706074,0,0,-0.5200256449359992,1.1724000814433735,12.33951170132304
1,2,2,30,0,0,0,4,2,4,7,1,1,0,0,1,1,2,3,95.63674642542023,95.0,Dropout,1,0,6,5,3,3,6,3,15.709338943306685,16.639914850060332,0,1,3.768681778376399,1.6972182843065946,6.83116565176128
1,1,1,26,0,0,1,4,2,1,7,1,1,0,0,2,1,2,2,112.28767818024457,108.87556646044604,Graduate,0,0,7,6,5,4,5,3,15.52489001062247,14.883223724385628,1,0,0.7722729135484565,2.053604873462932,10.397645871405485
1,2,1,20,0,0,0,4,3,7,4,0,1,0,0,1,1,1,8,122.40290070748927,128.33010048024812,Graduate,1,1,6,5,2,1,5,3,15.250467576433016,14.705209040350207,2,0,2.508737506344345,1.4319709221323385,8.566890278399395
1,1,1,25,0,0,0,3,6,9,2,1,1,0,0,2,4,3,3,129.07634388419459,123.13765328792046,Dropout,0,1,5,4,2,2,5,2,14.446636397698278,12.982625657586782,0,1,2.8693730508273516,0.6582356439724066,6.77489930244919
0,2,1,19,0,0,0,4,3,1,4,0,1,0,0,1,3,2,1,147.7783171753715,151.33488008127713,Graduate,0,0,6,5,0,1,2,4,11.780867651684057,11.723918425089082,0,0,2.1920484975402688,1.6683695375476197,7.093799097708876
0,1,1,25,0,0,1,3,3,1,3,0,1,0,0,4,1,2,8,106.89896379612462,107.04505544430428,Enrolled,0,1,5,6,0,0,5,3,12.204441941848959,13.070648594406261,0,0,1.8802665622971493,1.016604317488227,10.186881801917345
0,2,1,17,0,0,0,3,1,7,10,0,0,0,0,2,1,3,4,127.17648337775435,122.57744419913165,Dropout,0,0,5,5,0,0,3,3,10.454355474652301,10.273588988373449,0,1,1.2256285514234677,1.6355568198571515,10.067936199073955
0,3,1,17,1,0,0,4,4,4,3,0,1,0,0,1,2,2,6,127.68521275071862,140.30228598345366,Graduate,0,2,6,7,6,5,4,5,16.090337569853784,16.72892426155662,0,1,2.414308708237718,1.629378054789448,5.966599162593653
0,1,1,26,0,0,1,2,1,8,2,0,1,0,0,1,1,2,3,153.75997705171002,150.73321674767755,Graduate,0,0,5,4,2,1,4,4,14.107106982935383,14.266265562844627,0,0,2.669933557907142,1.0952583962791889,7.109123522794807
0,1,1,20,0,0,0,1,5,3,7,0,1,0,0,4,1,2,8,136.16550152400782,134.06151792179875,Enrolled,2,1,4,5,1,2,4,3,16.20633938089086,15.956692583303766,0,0,2.1968923432762737,1.269970219809761,9.516654152874544
1,2,1,22,0,1,0,2,3,7,1,0,1,0,0,1,3,2,3,120.6524704450766,115.80473864438287,Enrolled,0,0,4,5,3,3,3,3,11.446884301297624,12.27306502094251,0,0,0.2494690487090787,1.1838158492105744,10.986582693467827
0,1,1,17,0,0,0,3,2,1,3,0,1,0,0,4,1,2,6,118.42340236862388,133.22816970822893,Graduate,1,0,4,5,2,3,4,4,14.038879236653239,13.201900141750638,0,0,2.6787663626028686,2.104573522796871,6.856441622409775
0,2,2,30,0,0,0,2,2,3,5,0,1,0,0,2,1,2,7,128.94443495190336,142.85178610733146,Graduate,0,0,5,5,0,1,1,4,12.73885535191104,13.130882687549745,0,0,1.8563803475748086,1.189173277065985,8.625860890479899
0,1,1,27,1,0,0,1,6,10,6,1,1,0,0,1,4,3,2,107.03166285839117,118.49938740807369,Dropout,0,0,6,5,0,0,6,4,12.254007799564842,12.3169315640957,0,0,1.9153525760550305,1.6136061404531825,7.395866797554994
0,1,1,20,0,0,0,2,2,3,4,1,1,0,0,4,1,4,7,172.51750309709337,181.21224067212108,Graduate,0,0,5,4,3,3,5,3,12.283355324425425,13.203117448886344,0,0,2.1419518587835777,0.5481101373647588,7.13786203163784
1,3,1,19,0,0,0,1,2,2,5,1,1,0,0,1,3,2,7,139.91283138119908,131.07086865259512,Graduate,0,0,4,5,0,0,4,4,19.59626451621995,19.423560188588258,0,0,1.9149355667635366,1.4486887521081937,9.418515454238877
0,1,1,26,0,0,0,3,1,7,2,1,1,0,0,1,1,2,8,121.72903832085876,117.23100091578532,Enrolled,0,1,7,8,5,5,4,6,15.698754954012522,14.989826142969358,0,0,0.5220023019924092,1.9937361602071033,9.109133438322793
1,2,1,31,0,0,0,2,3,2,6,1,0,0,0,1,5,2,8,118.91070352280765,111.20396520317752,Graduate,2,1,4,5,4,4,2,5,12.757930856324382,13.205043229808526,0,0,1.5589646708241265,2.289935722505378,9.151896846038486
1,1,1,26,0,0,0,1,1,1,5,1,1,0,1,5,2,3,4,115.85364082638752,126.15692554262515,Dropout,0,0,4,5,1,2,2,4,11.747563120010398,12.645651207188523,0,1,2.18252175988846,1.87045055700783,9.424927205739216
0,1,1,32,0,0,0,3,4,4,7,1,0,0,0,3,5,2,5,147.42356308295055,170.779426795822,Graduate,1,0,6,7,4,3,4,7,12.897377376783773,14.282865582619532,0,2,1.2455458037655418,1.4602069144320737,9.205384823100838
0,1,1,17,0,0,0,4,5,7,5,0,1,0,0,4,2,2,8,106.93245809196759,113.72506901469633,Graduate,0,0,4,3,2,3,2,2,17.310856372049475,17.27454282358902,0,0,3.012437953082018,1.3457361340494884,6.78433139913338
1,1,1,17,0,0,0,1,5,7,5,0,1,0,0,1,1,2,1,136.44018709826787,153.2002813624245,Graduate,0,0,5,5,3,3,3,3,12.60932312848572,13.013780785677978,0,1,3.360499463952823,1.5143793822088951,9.294320575942976
1,1,1,17,0,0,1,2,1,7,6,0,0,0,0,1,4,1,6,151.4724957436876,156.04614316296096,Graduate,1,0,4,5,1,0,0,4,11.632652088209316,13.400195094937166,0,0,3.610719388069381,1.1411490354728362,7.071940718710974
1,1,1,23,0,0,0,5,3,6,2,1,1,0,0,1,2,2,2,128.28083470672306,131.4485706842001,Graduate,0,1,7,7,5,4,5,5,11.698948452922352,12.166655719556681,0,1,3.397411891380961,1.5200772021027011,5.415549175567997
1,1,1,22,0,0,0,2,1,4,2,1,0,0,0,1,2,1,6,119.7625786552883,113.96152157718798,Dropout,0,3,6,7,6,5,5,5,16.067813309626565,17.63440603747336,0,1,0.507823454746325,1.4969744700931924,9.902745711885581
0,1,1,20,0,0,0,5,3,4,7,0,0,0,1,2,1,1,7,156.75396745072976,162.88423845770592,Enrolled,2,1,5,6,1,2,5,5,12.05032588318219,13.516747925683243,0,0,2.0675485957217297,1.37790598891985,9.465338771593643
0,2,1,25,0,0,1,2,4,7,3,0,0,1,0,1,1,2,6,117.36131934306184,126.49108898038364,Enrolled,1,0,4,4,4,3,3,2,16.587814475430882,18.108918593878393,0,0,2.902553386617857,1.956870192103398,7.476478882054684
0,1,1,27,0,0,0,2,3,7,7,0,1,0,0,1,2,2,8,134.44623160845674,144.983395513945,Graduate,1,0,6,7,5,4,2,4,14.301376520539538,14.030725726739664,1,0,2.245861983265348,0.9131913986472313,8.969644958198392
1,1,1,17,0,0,0,2,4,8,1,1,0,0,0,1,1,1,4,142.30440545774263,143.3386740600381,Graduate,0,1,6,6,5,5,3,5,15.735434139703624,15.039281021596846,1,1,3.6523512964650764,1.8400647492964521,6.430826069022576
1,1,1,18,0,0,0,1,4,10,7,1,0,0,0,1,4,2,5,127.91740637491971,129.8964571620364,Dropout,1,1,7,6,0,1,4,4,16.75123694226036,17.23605498563277,0,0,0.07401509964594744,2.1117991695268263,9.973674466520201
0,1,1,25,0,1,0,4,2,4,10,0,0,0,0,1,1,1,4,116.03230413122084,115.42229909985691,Graduate,1,0,4,3,2,3,3,3,12.750619730011945,11.112892300184345,0,0,2.683293624790392,1.3795535329495268,6.929720887496741
0,2,1,19,0,0,1,6,3,6,4,0,0,0,0,4,2,2,8,128.82980619119,123.1837064307285,Dropout,1,1,6,5,0,-1,5,5,15.530666102484371,16.12358157130046,0,0,0.8339435596859031,1.679512718667764,7.465149021915231
0,1,1,17,0,0,0,6,1,7,6,1,0,0,0,4,3,2,8,146.8065143652306,155.6188888601141,Dropout,0,1,4,4,1,0,3,3,13.934685384058184,12.54251733587755,1,0,2.319791359372613,1.8066464050348947,7.648709292289329
0,1,1,26,0,0,0,4,2,2,5,1,1,0,0,3,1,2,8,125.42897948381352,106.47641921026559,Enrolled,0,1,5,6,5,6,4,3,14.61361685847448,14.905254590422643,0,0,-0.6417598770774608,2.229125151347467,11.544912504673913
1,1,2,17,1,0,0,4,2,1,7,1,1,0,0,1,1,2,8,149.09924560097244,132.3754399662825,Graduate,1,1,5,6,0,-1,3,3,18.77680108023241,18.48698776275228,0,2,2.589342851225863,1.0080038513582597,7.209841964596666
1,1,1,19,1,0,0,3,5,7,1,0,1,0,0,1,1,2,8,134.89543902038582,129.42575039959218,Graduate,0,1,6,5,2,3,3,4,13.906208702406879,13.564188417908031,0,0,4.0841231482011455,1.4145344947567433,5.048307162642564
1,2,1,23,0,1,0,4,2,6,7,0,0,0,0,1,2,2,8,127.89882772560105,115.16288297811492,Graduate,0,0,5,5,1,2,5,5,15.941381834695939,15.09647655968162,0,1,2.4681932728013396,1.7024109370195712,9.011581233552741
0,1,1,18,0,0,1,2,3,6,7,0,1,0,0,2,1,2,1,125.49160530206913,136.35157826583315,Graduate,0,1,7,6,6,5,7,3,17.599313505409192,17.73732554161059,0,0,2.539911818642967,1.5603603627436917,5.982307526648171
0,2,1,25,0,0,0,2,3,6,4,1,1,0,0,4,5,2,2,144.64131494238543,140.21407765365552,Enrolled,0,0,4,4,0,0,3,3,12.82664670207864,14.62745085886984,0,0,1.6105863855936786,2.1023566301285297,8.00975657887901
1,1,1,18,0,0,0,3,4,7,3,1,1,0,0,4,2,2,8,162.53893359564938,171.3094912701115,Graduate,1,1,5,6,3,3,2,6,12.22741719046993,12.38624849729748,0,2,2.985904423416452,0.857202257785935,5.631160393439318
1,1,1,28,0,0,0,4,3,2,3,0,1,1,0,1,2,2,6,142.4368968117244,155.48446662066783,Dropout,0,1,5,6,0,0,2,4,13.69117832548137,15.244248301125564,0,0,2.608875988397976,1.6916992674131368,7.260232973284091
1,3,2,20,1,0,0,3,2,7,7,1,0,0,0,5,4,2,7,120.70486969966831,121.31855546940372,Graduate,0,0,4,5,3,3,3,4,12.114358005537264,12.347397242680474,0,0,1.8721949606604578,1.6460685526356829,8.121117825517755
1,1,1,24,0,0,0,4,3,5,1,0,1,0,0,1,1,2,7,161.8634348359882,165.13426072493274,Graduate,0,1,7,6,7,8,6,5,13.090100632556767,12.19810507471223,1,1,1.7659238752407063,1.2663134347637433,8.640209139721824
0,1,1,25,0,0,0,2,3,7,6,1,1,0,0,3,2,2,2,122.29530766394589,134.56256172497584,Graduate,0,0,4,5,4,4,2,5,13.118312057235487,13.161426433693304,0,1,2.84933011145905,2.2275936808418972,9.514386718400244
0,1,1,18,0,0,0,3,3,6,4,0,1,0,0,1,2,2,8,174.57839878200735,184.57083980964006,Graduate,0,1,6,6,2,2,5,3,13.614066631093344,12.397235615862048,0,0,1.7817033170717989,1.5046141740042385,6.870214574320495
0,1,1,17,0,0,0,6,1,10,3,0,1,0,0,2,1,2,7,136.78289066213674,116.07362810873903,Graduate,2,1,4,4,3,4,2,3,12.066815560524777,13.261164115503252,0,0,3.402400361423217,1.4745628277278242,5.397552694427335
0,1,1,23,0,0,0,2,2,4,6,1,1,0,0,2,4,2,5,122.43164821745364,118.30922948836553,Dropout,0,0,7,6,6,6,4,4,14.50804623240521,14.70418767481436,0,0,1.663317154218296,0.4289605287638363,7.41868544117779
0,1,1,21,0,0,1,5,5,10,7,1,1,0,0,4,3,2,5,151.17506246120948,156.3011141765238,Graduate,0,0,4,3,2,1,3,3,13.098225175168603,13.106143904441689,0,0,1.9507460799646072,2.2291476911620056,9.218661597064454
0,1,1,24,0,1,0,3,2,7,7,1,1,0,1,2,4,2,5,133.7713108709063,135.92812546658075,Dropout,1,0,7,6,4,4,6,4,13.40349506914528,14.209926890618064,0,0,2.582432905583953,1.292310075337268,6.762240459621365
1,1,2,20,0,0,0,3,2,6,7,1,1,0,0,3,5,3,4,148.85706815867707,138.93133897093355,Enrolled,1,0,7,7,0,0,6,7,15.278163471266538,14.712348349229394,0,0,2.5555835090008197,1.5605349855243908,4.80230665605297
0,1,1,19,0,0,0,4,2,4,7,0,1,0,0,1,1,3,7,141.84006078076845,124.76460507438871,Enrolled,0,0,5,6,0,0,3,3,14.603488440203705,15.425267199804251,0,0,2.0567575249120593,1.365105510579745,7.680492515596779
0,1,1,31,0,1,0,2,1,4,7,0,0,0,0,4,3,2,8,112.41648851801331,118.5286792913681,Graduate,0,1,4,4,3,2,1,3,16.30268704075876,16.429793122944798,0,1,1.931916258781968,1.7826192588345633,7.317439256148172
1,1,1,17,1,0,0,2,2,7,5,1,1,0,0,5,2,1,3,138.59852579249906,130.1645496991808,Graduate,1,0,7,6,4,3,5,6,16.50368644930897,16.759521342959896,0,0,3.390847642497496,1.3901696817511848,5.757785568841686
0,1,1,25,0,0,1,3,3,6,9,1,1,0,0,2,5,4,1,150.02816843304703,148.68480457809514,Dropout,0,0,4,4,0,-1,3,3,13.245280271233225,13.735334450715646,0,1,0.5155767540757377,1.3631926123347051,9.618147138440202
0,3,1,18,0,0,0,1,5,5,6,0,1,0,0,5,1,2,2,142.2502709333585,143.69759542260076,Dropout,0,0,5,6,5,4,3,5,14.306100127667479,14.544208254533261,0,0,3.3058582911894145,2.185753017086339,7.692173441166166
1,1,1,19,0,0,1,2,2,7,6,1,1,0,0,1,1,2,7,165.11680692778646,163.48915580664067,Graduate,1,0,6,7,1,2,4,6,14.683876363597635,14.580696918453045,0,0,0.06581902720966659,1.7404542836101622,11.27750800707911
0,2,1,19,0,0,0,2,2,7,6,1,1,0,0,3,1,1,7,146.23756170904377,136.92003694507574,Enrolled,0,0,4,3,4,4,4,2,12.815220095923465,12.756671768656888,0,0,2.5305697633219517,1.7344214631087018,5.613696243167793
